,day_year,day_week,week,borough,fhv,2019_night,2019_morn,2019_arvo,2019_even,2020_night,2020_morn,2020_arvo,2020_even,borough_case_count,borough_probable_case_count,borough_hospitalized_count,borough_death_count,borough_probable_death_count,borough_case_count_7day_avg,borough_all_case_count_7day_avg,borough_hospitalized_count_7day_avg,borough_death_count_7day_avg,borough_all_death_count_7day_avg,stadium_capcity,restaurants,high_schools,indoor_religious,phase_1
1752,207,6,29,1,0,2.093815206489025,1.9523046771448833,2.0515952947461846,2.105235531163055,1.5314704927383054,1.511295614460169,1.7257569610137753,1.7529218107091815,1.4012920835590674,0.5831980807826592,0.5831980807826592,0.32663425997828094,0.0,1.524994838195378,1.533577726591972,0.9102350933653259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753,207,6,29,1,1,2.4129800560242916,2.398192122174617,2.4450153062440494,2.468077044487631,2.3506761693073623,2.362546512804145,2.425248636554748,2.4356193545176734,1.4012920835590674,0.5831980807826592,0.5831980807826592,0.32663425997828094,0.0,1.524994838195378,1.533577726591972,0.9102350933653259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1754,207,6,29,2,0,2.365181639070373,2.3580885777964453,2.411186635899494,2.4168021127487216,1.988860480227168,2.150672017302807,2.2301222875513527,2.202341798195551,1.2763452613426045,0.0940478276166991,0.47588499532711054,0.0,0.0,1.4498980416116356,1.4595599466308458,0.5831980807826592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1755,207,6,29,2,1,2.4279126937935076,2.4259145211867668,2.475893418049944,2.4927099879842793,2.335803873720173,2.3607132343691264,2.419677366177605,2.4292525248817864,1.2763452613426045,0.0940478276166991,0.47588499532711054,0.0,0.0,1.4498980416116356,1.4595599466308458,0.5831980807826592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756,207,6,29,3,0,1.9989771266480325,1.9389966147561633,1.9894099335283926,2.0334766349236153,1.4012920835590674,1.4717169160496426,1.677443815276561,1.6893760735113401,1.3588769911382217,0.6657298105782764,0.7871950081766445,0.0,0.0,1.520543522634296,1.533577726591972,0.874591382923689,0.32663425997828094,0.47588499532711054,0.0,0.0,0.0,0.0,0.0
1757,207,6,29,3,1,2.3536491211104407,2.3662633649752185,2.398311558517693,2.414382663109149,2.287875650910496,2.3222156014256696,2.370660216937838,2.372915630711559,1.3588769911382217,0.6657298105782764,0.7871950081766445,0.0,0.0,1.520543522634296,1.533577726591972,0.874591382923689,0.32663425997828094,0.47588499532711054,0.0,0.0,0.0,0.0,0.0
1758,207,6,29,4,0,0.32663425997828094,0.0,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,1.0799182995220822,0.0,0.0,0.0,0.0,1.1562690064065475,1.1562690064065475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759,207,6,29,4,1,2.058826094000821,2.088575074810192,2.137060998022057,2.137478875376373,1.9735165926588492,2.050298890370923,2.114630263915761,2.093925592647527,1.0799182995220822,0.0,0.0,0.0,0.0,1.1562690064065475,1.1562690064065475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760,208,0,30,0,0,1.606153850141491,1.7911679757667864,1.7711716166256994,1.6901945189330263,1.2036341000246709,1.251764630741022,1.4498980416116356,1.4252465486463906,1.2913203187398075,0.7320993680864453,0.6657298105782764,0.0,0.0,1.4717169160496426,1.4858773557530183,0.7871950081766445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761,208,0,30,0,1,2.3338782510949527,2.3093521138530053,2.3518629794066905,2.358840126304341,2.3253509861261135,2.2892252731198734,2.349986083542746,2.3606307906828743,1.2913203187398075,0.7320993680864453,0.6657298105782764,0.0,0.0,1.4717169160496426,1.4858773557530183,0.7871950081766445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
