,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,26,4,2,2,1,3842
1,27,6,2,1,0,11
2,28,2,3,3,3,14
3,30,4,0,0,1,3
4,30,5,3,2,0,2
5,26,4,3,1,2,6
6,26,5,2,3,1,33
7,26,5,3,3,3,13
8,26,6,2,2,0,256
9,27,0,3,1,0,2
10,27,0,0,2,2,3
11,27,5,2,3,3,76
12,28,1,2,3,3,76
13,28,2,2,1,1,45
14,28,4,1,3,0,1
15,29,2,3,3,0,5
16,29,6,2,2,1,2528
17,29,6,0,0,3,1
18,30,5,3,2,2,15
19,27,6,1,1,2,10
20,29,0,0,2,3,3
21,29,5,3,3,1,11
22,29,5,3,1,2,2
23,30,3,1,1,0,3
24,27,0,1,2,0,21
25,27,0,3,2,1,10
26,27,0,0,0,3,5
27,27,2,1,1,3,8
28,28,1,1,2,2,7
29,29,3,0,0,3,3
30,30,5,2,3,1,39
31,26,4,2,0,1,31
32,27,5,3,1,3,2
33,28,6,1,3,0,2
34,29,2,2,2,3,3801
35,29,3,2,3,1,28
36,30,3,2,2,3,4588
37,26,5,1,1,2,20
38,27,3,1,1,3,6
39,27,4,1,1,3,9
40,28,2,3,3,0,5
41,28,2,3,0,3,5
42,28,4,2,3,3,113
43,29,3,2,0,0,8
44,29,6,2,0,3,40
45,30,0,1,1,2,8
46,26,3,2,2,0,300
47,26,6,3,2,1,2
48,26,6,2,3,3,70
49,27,2,2,2,0,198
50,27,3,0,0,1,1
51,27,4,2,1,0,15
52,28,4,0,0,3,5
53,29,1,1,1,3,5
54,29,4,2,1,1,38
55,30,0,2,2,1,1594
56,30,0,1,1,1,5
57,30,2,0,2,3,2
58,30,4,3,0,1,2
59,26,3,2,0,2,34
60,27,0,0,2,1,3
61,27,1,1,2,2,5
62,27,4,0,0,3,4
63,28,2,2,0,0,6
64,29,1,1,2,3,3
65,29,4,0,0,3,3
66,29,6,2,3,3,111
67,30,4,0,0,0,2
68,27,0,3,2,2,24
69,27,1,4,4,1,1
70,27,3,2,1,1,47
71,27,5,1,3,2,1
72,28,5,1,4,3,1
73,29,1,2,1,2,145
74,29,3,1,3,2,1
75,30,1,2,1,0,16
76,30,2,2,1,1,70
77,26,4,2,1,1,50
78,26,5,3,3,0,10
79,27,0,0,0,0,4
80,27,0,2,3,1,22
81,27,1,3,1,3,4
82,27,2,0,2,0,2
83,27,3,3,3,3,18
84,27,4,0,2,3,1
85,27,5,3,3,2,11
86,28,0,3,3,2,11
87,28,2,2,2,3,3562
88,29,1,2,0,0,9
89,30,0,3,3,2,18
90,26,3,2,2,2,5624
91,27,5,0,0,2,2
92,29,0,2,0,2,32
93,29,1,3,1,3,1
94,29,4,2,2,0,271
95,29,4,3,1,3,1
96,29,5,1,2,1,5
97,29,6,1,2,3,10
98,26,3,3,1,1,5
99,26,6,3,1,2,7
100,27,0,1,2,2,2
101,27,3,1,2,2,11
102,27,4,3,2,1,23
103,28,0,1,2,0,6
104,29,2,1,1,3,8
105,30,0,2,3,1,21
