,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,45,5,2,0,1,7
1,46,2,1,0,1,2
2,46,4,3,1,2,7
3,47,4,3,1,2,4
4,47,6,1,3,2,1
5,48,0,1,2,2,9
6,44,2,2,0,0,1
7,44,4,2,1,3,1
8,46,2,0,2,1,2
9,47,0,1,4,3,1
10,48,0,1,3,2,4
11,44,6,0,0,2,4
12,45,1,2,2,0,6
13,45,5,2,0,2,5
14,46,2,2,0,2,7
15,46,4,2,0,1,4
16,46,5,1,2,3,6
17,47,3,0,1,3,1
18,47,4,3,2,1,5
19,44,6,1,2,1,2
20,45,1,0,3,3,1
21,45,2,3,3,3,34
22,45,4,0,3,1,3
23,45,4,0,3,2,2
24,46,1,3,3,1,20
25,46,2,3,0,1,4
26,45,2,3,2,1,12
27,45,2,3,2,2,1
28,45,6,3,3,3,29
29,46,1,0,3,2,1
30,46,4,0,3,0,2
31,46,5,0,1,2,1
32,47,1,0,2,2,3
33,47,3,0,2,1,2
34,47,4,2,1,2,3
35,44,5,1,2,1,10
36,45,0,0,2,3,2
37,45,1,0,0,1,3
38,46,0,0,0,2,2
39,46,3,0,1,3,1
40,47,3,2,0,0,2
41,44,1,1,0,3,1
42,45,2,1,3,3,3
43,46,1,0,3,1,6
44,47,1,3,1,1,3
45,47,5,0,0,3,1
46,44,3,1,3,2,3
47,47,1,2,2,2,219
48,47,4,1,1,0,1
49,48,1,2,3,2,2
50,48,1,1,2,3,1
51,44,4,3,0,1,4
52,44,6,0,2,2,7
53,44,6,2,3,2,2
54,45,0,3,3,3,25
55,45,1,2,3,3,2
56,46,3,3,3,2,44
57,46,6,2,0,2,8
58,47,0,0,2,2,2
59,47,0,1,1,3,22
60,47,3,2,3,0,1
61,44,5,1,3,1,4
62,45,2,1,2,1,23
63,46,5,3,2,2,7
64,46,6,2,3,3,2
65,47,6,1,3,1,3
66,48,1,1,2,0,1
67,48,1,0,1,1,3
68,45,1,0,0,0,2
69,45,1,3,1,3,2
70,47,3,1,0,1,1
