,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,17,6,1,1,2,13
1,18,0,2,3,2,23
2,18,2,2,3,2,24
3,18,5,1,2,3,1
4,19,5,2,2,1,1844
5,20,2,3,0,1,2
6,20,5,3,0,1,1
7,17,6,3,3,1,4
8,18,6,3,3,3,9
9,19,3,3,2,1,7
10,19,6,1,0,3,1
11,20,0,2,3,3,31
12,20,5,0,0,2,2
13,18,0,3,3,0,2
14,18,4,1,1,2,7
15,19,0,2,3,2,16
16,19,2,3,2,1,9
17,20,0,1,1,3,6
18,20,4,2,1,1,36
19,20,4,2,3,3,44
20,21,2,1,3,1,1
21,21,3,2,3,2,53
22,21,3,3,0,3,1
23,18,4,2,1,2,45
24,18,5,3,2,3,3
25,20,2,2,0,2,24
26,20,4,2,2,1,2077
27,22,0,3,2,0,2
28,18,2,3,2,1,8
29,18,6,1,2,0,1
30,19,5,2,0,0,8
31,19,6,1,2,0,3
32,20,5,1,1,1,10
33,17,5,3,1,2,1
34,18,0,2,1,0,2
35,18,0,1,2,2,1
36,21,0,3,3,1,2
37,17,5,2,0,1,22
38,17,6,2,0,0,9
39,17,6,2,2,3,797
40,18,1,2,2,1,1548
41,19,1,2,3,2,25
42,19,4,2,0,1,12
43,20,2,1,1,1,12
44,20,6,3,0,2,1
45,21,5,4,4,0,1
46,21,6,0,3,0,1
47,17,6,2,0,1,8
48,18,1,1,2,1,6
49,18,6,0,2,1,2
50,20,0,2,3,1,13
51,18,0,1,1,2,5
52,20,0,3,2,2,2
53,20,2,0,3,1,1
54,20,2,0,0,2,1
55,20,3,3,2,2,10
56,20,6,1,1,1,4
57,20,6,0,2,2,4
58,18,0,3,3,1,2
59,18,6,2,2,0,126
60,19,5,1,1,1,14
61,19,6,0,3,3,1
62,21,1,3,3,2,5
63,21,4,2,0,1,17
64,17,5,1,2,3,2
65,18,0,3,3,2,8
66,18,1,0,0,1,2
67,18,6,3,1,2,1
68,19,1,3,2,1,4
69,19,2,2,1,0,6
70,19,3,2,1,3,29
71,19,5,0,3,3,1
72,20,5,1,1,3,7
73,20,6,2,0,0,4
74,18,6,3,2,1,6
75,19,4,0,0,3,2
76,20,4,3,2,2,7
77,21,6,2,1,3,54
78,18,6,4,1,2,1
79,19,2,3,2,2,7
80,19,2,1,1,3,10
81,20,3,2,2,1,2055
82,21,3,3,3,1,8
83,19,2,0,3,1,1
84,19,3,2,3,1,15
85,19,4,3,3,0,1
86,19,5,2,3,0,9
87,20,5,2,0,1,16
88,21,1,3,3,3,7
89,21,6,1,1,3,11
90,19,5,1,3,2,1
91,20,6,1,3,0,1
92,21,0,2,0,3,21
93,17,5,3,0,1,2
94,17,5,1,1,1,9
95,18,0,3,2,3,5
96,19,1,3,2,3,4
97,19,5,0,2,1,1
98,19,5,0,0,2,4
99,20,2,1,3,1,1
100,21,1,2,2,2,1502
101,18,3,3,0,2,1
102,19,0,1,2,0,2
103,19,0,1,1,3,7
104,20,1,3,3,2,10
105,21,6,3,3,3,12
106,18,1,0,2,1,1
107,18,5,0,0,2,3
108,20,3,1,1,0,1
109,20,5,2,1,0,7
110,20,5,2,2,2,2810
111,21,5,1,3,2,1
112,20,2,2,2,3,973
113,20,4,0,0,3,1
114,17,6,2,3,0,7
115,18,3,3,0,1,1
116,18,3,1,1,3,5
117,19,1,1,3,0,1
118,19,4,0,0,0,1
119,19,4,2,3,3,34
120,18,2,2,3,1,24
121,18,5,2,0,0,10
122,20,0,3,2,1,3
123,20,0,0,0,2,1
124,20,6,3,0,1,1
125,21,1,3,2,1,4
126,21,1,2,0,2,18
127,21,4,2,2,2,2719
128,18,2,2,1,3,40
129,18,4,0,3,2,2
130,20,3,3,3,2,12
131,20,3,3,2,3,3
132,21,1,1,3,3,1
133,21,3,1,3,3,2
134,21,6,0,0,1,1
135,22,0,2,2,1,823
136,17,5,2,2,3,923
137,18,5,2,2,0,131
138,19,0,1,3,2,2
139,19,3,2,0,2,31
140,21,5,0,2,1,1
141,18,4,2,2,2,1894
142,20,6,0,0,1,3
143,22,0,2,1,2,47
