,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,26,1,4,0,0,4
1,26,2,0,1,2,17
2,26,4,2,2,1,51
3,27,6,2,1,0,28
4,28,2,3,3,3,525
5,29,1,4,0,2,14
6,29,2,0,4,1,10
7,30,2,4,3,3,2
8,26,4,3,1,2,49
9,26,5,2,3,1,68
10,26,5,3,3,3,645
11,26,6,2,2,0,32
12,27,0,3,1,0,25
13,27,0,0,2,2,2
14,27,4,1,4,2,6
15,27,5,2,3,3,57
16,28,1,4,4,1,86
17,28,1,2,3,3,88
18,28,2,2,1,1,114
19,28,4,1,3,0,5
20,29,1,4,4,1,112
21,29,2,3,3,0,297
22,29,5,0,4,1,14
23,29,6,2,2,1,106
24,29,6,0,0,3,39
25,26,1,0,0,3,86
26,27,0,3,0,1,2
27,27,6,1,1,2,203
28,28,1,3,1,0,18
29,29,0,0,2,3,3
30,29,5,3,3,1,996
31,29,5,3,1,2,67
32,30,2,4,2,2,2
33,30,3,1,1,0,47
34,26,1,3,0,1,21
35,27,0,1,2,0,3
36,27,0,3,2,1,26
37,27,0,0,0,3,43
38,27,2,1,1,3,84
39,27,5,1,0,1,52
40,28,1,1,2,2,74
41,29,3,1,0,2,21
42,29,3,0,0,3,69
43,26,1,1,0,1,32
44,26,4,2,0,1,8
45,27,3,0,1,2,18
46,27,5,3,1,3,50
47,27,6,0,1,2,18
48,28,6,1,3,0,12
49,29,2,2,2,3,262
50,29,3,2,3,1,83
51,30,3,2,2,3,298
52,26,5,1,1,2,323
53,27,1,2,4,3,13
54,27,3,1,1,3,65
55,27,4,1,1,3,89
56,27,5,4,0,0,4
57,27,6,3,0,0,2
58,28,2,3,3,0,302
59,28,2,3,0,3,6
60,28,4,2,3,3,81
61,29,3,2,0,0,12
62,29,6,2,0,3,5
63,30,0,1,1,2,114
64,26,3,2,2,0,68
65,26,3,4,2,1,5
66,26,4,1,0,2,5
67,26,6,3,2,1,67
68,26,6,2,3,3,14
69,27,2,2,2,0,65
70,27,3,0,0,1,957
71,27,4,2,1,0,28
72,28,2,4,3,2,2
73,28,4,4,1,2,4
74,28,4,0,0,3,58
75,29,1,1,1,3,76
76,29,4,2,1,1,106
77,30,0,2,2,1,41
78,30,0,1,1,1,194
79,30,1,4,0,1,4
80,30,2,0,2,3,7
81,26,3,2,0,2,104
82,27,0,0,2,1,23
83,27,1,1,2,2,55
84,27,4,0,0,3,69
85,28,2,2,0,0,14
86,28,3,2,4,0,3
87,29,1,1,2,3,21
88,29,2,0,4,2,1
89,29,4,0,0,3,64
90,29,6,2,3,3,14
91,30,3,4,1,2,5
92,26,2,1,2,1,182
93,26,2,3,0,2,21
94,26,5,1,4,2,2
95,26,5,4,1,2,2
96,27,0,3,2,2,21
97,27,1,4,4,1,127
98,27,3,2,1,1,94
99,27,4,1,4,1,3
100,27,5,1,3,2,50
101,29,1,2,1,2,161
102,29,3,1,3,2,56
103,29,5,4,4,1,98
104,29,5,4,2,1,4
105,29,5,2,4,1,1
106,30,1,2,1,0,6
107,30,1,1,4,2,2
108,30,2,2,1,1,103
109,26,1,0,0,1,733
110,26,4,2,1,1,12
111,26,5,3,3,0,315
112,27,0,0,0,0,28
113,27,0,2,3,1,8
114,27,1,3,1,3,27
115,27,2,0,2,0,12
116,27,3,3,3,3,522
117,27,4,0,2,3,5
118,27,5,3,3,2,1005
119,28,0,3,3,2,605
120,28,1,0,3,3,2
121,28,2,2,2,3,238
122,28,5,0,4,1,13
123,29,1,2,0,0,8
124,29,6,4,2,1,2
125,30,0,3,3,2,613
126,30,2,1,0,2,32
127,26,3,2,2,2,234
128,26,6,2,4,1,2
129,27,0,4,4,3,28
130,27,4,4,4,3,46
131,27,5,0,0,2,625
132,27,5,4,2,2,2
133,28,1,2,4,0,1
134,29,0,2,0,2,17
135,29,1,3,1,3,23
136,29,4,2,2,0,92
137,29,4,3,1,3,34
138,29,5,1,2,1,219
