,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,17,3,4,2,2,1
1,17,6,1,1,2,118
2,18,0,2,3,2,19
3,18,1,1,2,0,9
4,18,2,2,3,2,86
5,18,3,4,2,3,1
6,18,5,1,2,3,20
7,19,1,2,4,1,1
8,19,5,2,2,1,221
9,20,2,3,0,1,27
10,20,5,3,0,1,21
11,21,0,3,0,1,2
12,21,2,3,4,2,1
13,17,5,1,4,2,1
14,17,6,3,3,1,883
15,18,0,0,3,1,1
16,18,1,2,4,3,6
17,18,6,3,3,3,889
18,19,2,4,1,3,2
19,19,3,3,2,1,111
20,19,6,1,0,3,5
21,20,0,2,3,3,10
22,20,5,0,0,2,349
23,21,4,1,4,2,8
24,17,3,2,2,0,54
25,17,4,3,1,2,57
26,18,0,3,3,0,635
27,18,2,3,0,1,20
28,18,4,1,1,2,352
29,18,5,0,4,3,5
30,19,0,2,3,2,17
31,19,2,3,2,1,97
32,19,4,2,3,0,15
33,20,0,1,1,3,43
34,20,4,2,1,1,79
35,20,4,2,3,3,53
36,21,2,1,3,1,52
37,21,3,1,3,0,5
38,21,3,2,3,2,68
39,21,3,3,0,3,1
40,17,4,0,4,3,3
41,17,5,4,2,3,1
42,18,4,2,1,2,117
43,18,5,3,2,3,16
44,19,3,3,0,3,2
45,19,6,2,4,1,3
46,20,0,0,3,1,1
47,20,2,2,0,2,79
48,20,4,2,2,1,250
49,20,5,2,4,1,3
50,20,5,0,4,1,1
51,21,5,1,0,1,29
52,17,3,1,1,2,339
53,18,1,0,3,1,41
54,18,2,3,2,1,129
55,18,6,1,2,0,5
56,19,5,2,0,0,7
57,19,6,1,2,0,6
58,20,4,1,3,0,15
59,20,5,1,1,1,509
60,20,6,1,3,1,44
61,21,3,4,0,1,1
62,17,3,1,4,1,3
63,17,5,3,1,2,59
64,18,0,2,1,0,10
65,18,0,1,2,2,8
66,18,1,4,4,1,113
67,20,3,3,0,3,1
68,20,6,4,4,0,21
69,20,6,0,1,1,17
70,21,0,3,3,1,526
71,17,4,3,1,0,22
72,17,4,3,2,1,111
73,17,5,2,0,1,70
74,17,6,2,0,0,9
75,17,6,2,2,3,63
76,18,1,2,2,1,261
77,18,3,4,4,0,9
78,19,0,1,3,3,15
79,19,1,2,3,2,66
80,19,2,0,1,2,19
81,19,4,2,0,1,73
82,19,4,4,2,1,6
83,20,2,1,1,1,532
84,20,6,3,0,2,14
85,21,1,3,1,3,36
86,21,5,4,4,0,3
87,17,4,3,2,3,12
88,17,5,4,4,0,7
89,17,6,2,0,1,21
90,18,0,2,4,2,2
91,18,1,1,2,1,138
92,18,2,3,4,2,1
93,18,3,1,3,1,42
94,18,6,0,2,1,43
95,19,1,2,4,3,12
96,20,0,2,3,1,10
97,20,3,1,0,2,26
98,20,6,4,1,3,1
99,21,5,4,2,0,1
100,18,0,1,1,2,101
101,18,1,1,3,0,6
102,18,1,1,3,1,43
103,18,4,4,0,0,4
104,18,4,1,4,1,5
105,19,4,4,1,0,1
106,20,0,3,2,2,16
107,20,2,3,3,0,264
108,20,2,0,3,1,25
109,20,2,0,0,2,477
110,20,3,3,2,2,38
111,20,6,1,1,1,203
112,20,6,0,2,2,9
113,17,4,3,2,2,54
114,17,4,4,4,3,32
