,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,13,1,1,2,1,214
1,13,3,0,3,0,1
2,13,3,1,1,2,879
3,15,6,0,2,1,19
4,15,6,1,3,3,48
5,17,1,3,0,1,7
6,14,0,1,1,1,499
7,14,1,1,2,2,109
8,14,3,0,0,3,86
9,15,1,4,1,1,1
10,16,2,3,0,2,8
11,16,4,4,1,1,1
12,16,5,1,3,2,17
13,17,2,1,0,2,5
14,13,1,1,4,2,3
15,14,5,4,1,2,1
16,15,0,0,0,1,93
17,15,4,1,3,0,7
18,15,4,2,1,2,14
19,15,5,1,2,0,54
20,15,6,3,1,2,28
21,16,2,3,1,0,9
22,16,3,2,3,2,18
23,16,5,3,3,1,326
24,14,0,3,0,2,1
25,14,6,0,1,3,10
26,14,6,2,3,3,9
27,15,2,1,2,0,26
28,15,3,2,2,1,1118
29,16,1,1,0,3,1
30,16,2,3,0,1,5
31,16,4,2,3,0,1
32,16,6,0,2,3,22
33,17,1,1,3,3,18
34,17,2,1,2,2,106
35,13,3,3,1,0,4
36,13,5,0,3,2,8
37,14,0,3,1,1,26
38,14,2,3,2,1,69
39,15,6,1,2,1,60
40,16,1,3,0,2,8
41,16,3,3,2,3,62
42,13,4,0,2,1,56
43,13,4,1,4,3,1
44,13,6,3,3,0,299
45,14,2,2,0,3,32
46,14,4,4,4,1,1
47,15,2,4,2,1,1
48,15,2,0,1,1,7
49,15,4,2,2,3,938
50,16,0,3,3,0,222
51,15,5,3,3,1,273
52,15,5,2,2,2,916
53,16,0,3,2,2,59
54,16,5,1,4,2,1
55,17,2,1,2,3,138
56,13,1,2,1,0,1
57,13,2,2,0,2,51
58,13,4,3,3,3,831
59,13,5,0,1,0,2
60,13,5,1,4,0,1
61,14,2,0,2,3,13
62,14,5,0,3,0,4
63,15,2,3,1,3,27
64,16,3,1,2,0,26
65,16,6,0,0,0,16
66,16,6,0,3,1,3
67,13,3,2,2,0,62
68,13,4,1,1,0,157
69,13,4,2,3,2,8
70,13,6,3,0,0,2
71,14,5,0,1,1,6
72,15,2,3,2,2,23
73,15,5,1,3,2,27
74,17,2,3,3,0,113
75,14,0,0,2,2,48
76,14,2,3,3,0,96
77,16,3,0,3,3,4
78,13,2,1,0,1,6
79,13,3,1,4,1,2
80,14,0,2,0,1,25
81,14,4,3,2,1,60
82,14,4,2,2,3,991
83,14,6,2,1,0,8
84,14,6,2,3,2,16
85,15,2,2,1,0,2
86,16,3,3,2,1,66
87,16,4,2,0,1,42
88,13,4,0,3,1,13
89,13,6,1,0,0,4
90,14,2,0,2,1,49
91,14,2,1,4,2,1
92,15,2,1,4,3,2
93,15,4,1,0,3,3
94,16,0,1,2,2,130
95,16,4,0,0,0,8
96,16,4,1,4,2,2
97,16,5,1,1,0,172
98,17,0,0,3,1,4
99,17,1,3,1,2,21
100,13,1,3,3,3,629
101,13,2,1,4,2,4
102,13,4,2,1,1,9
103,13,6,2,0,2,57
104,14,2,0,1,3,7
105,14,5,2,2,0,114
106,14,5,0,1,0,1
107,15,1,3,3,0,83
108,15,1,0,2,2,34
109,15,4,3,1,3,27
110,15,5,3,2,3,47
111,16,0,2,2,1,588
112,16,6,1,2,3,278
113,17,0,1,3,2,31
114,13,0,3,2,3,1
115,14,3,1,2,2,119
116,14,5,1,3,3,47
117,15,0,3,0,1,2
118,15,4,3,0,3,2
119,15,5,1,2,3,179
120,16,2,2,0,0,3
121,16,6,3,0,2,5
122,13,2,0,1,3,6
123,13,3,1,2,0,19
124,13,6,0,3,1,7
125,14,2,1,3,1,31
126,14,5,3,0,0,1
127,15,0,1,2,3,102
128,15,1,3,1,1,29
129,15,3,3,0,1,6
130,15,6,1,1,2,951
131,16,4,1,1,2,743
132,13,1,2,0,3,47
133,13,2,3,2,3,23
134,13,4,1,0,3,3
135,14,2,0,2,0,4
136,14,4,1,4,3,2
137,15,0,3,0,3,5
138,15,2,4,1,1,2
139,15,3,2,1,2,10
140,16,6,1,3,1,12
141,17,2,0,1,2,2
142,13,1,3,2,3,25
143,13,2,0,1,1,7
144,13,5,1,2,2,71
145,14,1,3,2,3,27
146,14,4,1,0,2,7
147,14,4,1,0,3,2
148,15,0,0,1,0,1
149,15,1,1,4,3,1
150,15,3,0,2,2,48
151,15,5,3,2,1,55
152,15,5,2,0,1,38
153,16,0,2,1,0,2
154,17,1,0,2,2,24
155,13,1,0,0,3,74
156,13,2,3,1,1,27
157,13,5,3,0,3,8
158,14,1,0,0,0,12
159,14,4,0,3,3,4
160,14,6,0,3,1,4
161,15,5,3,2,2,27
162,16,0,2,0,1,25
163,16,3,0,2,1,58
164,16,3,2,1,1,8
165,16,4,2,0,0,9
166,17,2,3,2,0,12
167,17,2,1,2,1,195
168,13,4,3,3,1,462
169,13,5,1,1,3,1193
170,14,3,0,2,0,14
171,14,4,1,2,0,27
172,15,0,2,0,2,59
173,15,1,1,2,0,16
174,15,5,2,3,1,11
175,16,3,1,2,1,226
176,16,4,2,0,3,52
177,13,2,1,3,1,29
178,15,4,0,3,1,3
179,17,0,2,2,0,190
180,17,0,2,2,1,559
181,17,2,1,4,0,1
182,13,3,0,1,0,2
183,13,4,2,2,1,1171
184,13,4,2,0,1,54
185,13,4,0,0,3,107
186,15,0,0,0,2,104
187,15,6,1,3,2,21
188,16,2,3,0,3,7
189,16,3,2,0,3,37
190,16,5,2,0,2,36
191,13,1,2,2,1,1043
192,13,5,1,3,0,17
193,13,6,0,3,2,7
194,14,5,1,2,1,214
195,15,2,3,2,0,12
196,15,2,3,0,3,5
197,15,3,1,2,3,148
198,15,4,1,3,1,25
199,15,5,2,2,1,832
200,15,5,2,1,3,11
201,16,2,1,2,0,25
202,16,3,2,3,3,18
203,16,4,2,2,3,884
204,17,2,3,0,0,2
205,13,3,0,0,2,219
206,13,3,3,0,2,16
207,13,5,0,3,0,3
208,14,5,2,1,3,12
209,15,2,2,2,1,1099
210,15,4,2,0,1,44
211,16,1,3,0,1,3
212,16,6,2,2,3,818
213,16,6,4,4,3,2
214,17,0,2,2,3,604
215,13,2,0,3,0,2
216,13,5,0,2,3,28
217,14,2,1,1,2,897
218,15,2,0,1,3,6
219,15,3,2,2,0,100
220,15,3,3,1,1,33
221,16,0,2,1,3,5
222,16,0,0,1,3,1
223,16,2,3,2,1,48
224,16,3,2,0,2,34
225,16,5,0,0,2,116
226,16,6,0,2,1,15
227,17,0,0,0,3,27
228,13,1,2,2,3,861
229,13,2,1,2,2,121
230,13,5,0,1,2,7
231,14,2,3,3,2,574
232,14,3,3,3,1,370
233,15,0,2,0,3,28
234,15,2,1,2,3,137
235,15,3,0,3,0,2
236,15,4,0,2,1,31
237,16,1,3,2,0,16
238,16,5,1,4,3,1
239,13,3,2,2,3,991
240,13,6,2,2,2,1070
241,14,0,2,3,3,8
242,15,0,1,3,2,35
243,15,3,2,3,1,17
244,15,5,3,1,3,34
245,17,1,1,2,2,81
246,13,3,0,2,2,45
247,13,4,3,2,3,36
248,13,5,1,2,3,136
249,14,2,0,0,1,180
250,14,3,0,1,0,1
251,14,4,4,1,1,2
252,14,5,3,0,2,15
253,15,0,3,1,1,21
254,16,2,3,0,0,2
255,16,3,2,2,2,1070
256,16,4,4,4,2,1
257,17,1,1,2,3,115
258,17,2,3,3,1,361
259,13,1,0,1,2,7
260,13,6,1,3,1,28
261,14,3,0,3,0,5
262,14,4,0,0,3,86
263,14,5,3,1,0,5
264,14,6,1,2,3,336
265,15,0,2,1,1,3
266,15,0,3,2,3,42
267,15,4,3,3,2,483
268,15,5,1,0,0,1
269,15,5,2,3,3,16
270,16,5,1,2,1,207
271,17,0,2,0,2,40
272,13,4,1,0,0,1
273,14,0,1,4,2,2
274,14,1,2,1,2,16
275,15,2,1,1,1,560
276,15,3,0,0,2,177
277,16,3,0,2,2,25
278,16,3,0,3,2,2
279,16,6,1,3,3,43
280,17,2,2,0,1,43
281,13,1,0,2,3,26
282,14,0,0,3,1,5
283,14,0,3,1,3,43
284,14,2,1,3,3,46
285,14,3,2,0,3,56
286,14,4,0,1,2,9
287,15,1,2,3,3,16
288,15,2,1,0,3,4
289,15,4,2,0,2,51
290,15,6,3,1,1,13
291,16,3,1,3,2,17
292,13,1,1,1,3,782
293,13,2,1,3,0,9
294,13,5,0,1,1,7
295,14,3,1,0,0,1
296,16,0,2,0,0,10
297,16,1,0,3,1,5
298,16,1,2,0,3,41
299,16,2,1,1,0,62
300,17,2,0,0,0,13
301,13,3,1,1,1,684
302,13,3,3,0,1,9
303,14,2,1,1,1,583
304,14,3,0,3,1,12
305,14,3,2,2,2,1072
306,14,5,1,4,2,3
307,15,1,1,1,0,73
308,15,2,3,2,1,70
309,15,2,2,0,2,51
310,16,1,0,3,3,1
311,16,4,0,1,2,2
312,16,5,2,2,0,115
313,16,5,3,0,3,2
314,13,0,3,3,3,1
315,14,0,2,3,2,15
316,14,0,2,0,3,37
317,14,1,2,3,1,8
318,14,2,3,0,1,6
319,15,2,2,2,3,885
320,15,3,3,2,0,8
321,15,3,1,1,1,608
322,16,0,1,1,2,743
323,16,1,0,2,2,22
324,16,1,0,2,3,9
325,17,1,0,2,1,44
326,13,1,3,1,0,2
327,13,2,1,3,2,34
328,13,3,2,1,2,16
329,14,2,0,0,0,14
330,14,2,1,2,3,110
331,14,4,4,2,2,2
332,15,2,3,1,0,3
333,15,5,3,0,2,6
334,16,5,1,2,0,55
335,17,1,3,1,1,21
336,14,1,0,0,2,181
337,14,3,1,2,1,216
338,14,4,2,2,0,90
339,14,5,1,0,1,3
340,14,6,2,1,3,13
341,15,2,0,1,2,6
342,16,1,1,2,1,175
343,16,5,1,4,1,1
344,16,5,2,2,2,1226
345,16,5,2,3,3,9
346,16,6,1,1,0,426
347,17,2,0,3,1,6
348,14,1,0,0,1,220
349,14,4,2,0,3,43
350,14,6,2,3,0,3
351,15,2,3,3,0,110
352,15,5,3,3,2,496
