,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,17,6,1,1,2,42
1,19,5,2,2,1,104
2,20,2,3,0,1,1
3,20,5,3,0,1,3
4,21,0,3,0,1,2
5,17,5,1,4,2,1
6,17,6,3,3,1,4
7,18,6,3,3,3,8
8,19,3,3,2,1,3
9,19,6,1,0,3,1
10,20,5,0,0,2,7
11,18,2,3,0,1,1
12,18,4,1,1,2,38
13,19,2,3,2,1,3
14,20,0,1,1,3,13
15,20,4,2,3,3,1
16,21,2,1,3,1,5
17,21,3,1,3,0,2
18,21,3,2,3,2,3
19,21,3,3,0,3,1
20,18,4,2,1,2,2
21,18,5,3,2,3,1
22,18,5,0,3,3,1
23,19,3,3,0,3,1
24,20,2,2,0,2,8
25,20,4,2,2,1,116
26,21,5,1,0,1,1
27,22,0,3,2,0,1
28,18,1,0,3,1,4
29,18,2,3,2,1,2
30,19,5,2,0,0,1
31,20,4,1,3,0,1
32,20,5,1,1,1,6
33,20,6,1,3,1,1
34,17,5,3,1,2,3
35,18,0,2,1,0,1
36,18,0,1,2,2,7
37,20,3,3,0,3,2
38,20,6,0,1,1,2
39,21,0,3,3,1,5
40,17,5,2,0,1,7
41,17,6,2,0,0,1
42,17,6,2,2,3,47
43,18,1,2,2,1,90
44,19,2,0,1,2,3
45,19,4,2,0,1,5
46,20,2,1,1,1,5
47,20,6,3,0,2,1
48,21,6,0,3,0,1
49,17,6,2,0,1,3
50,18,1,1,2,1,4
51,18,3,1,3,1,4
52,18,6,0,2,1,2
53,20,0,2,3,1,1
54,20,3,1,0,2,1
55,18,0,1,1,2,30
56,18,1,1,3,1,4
57,20,0,3,2,2,2
58,20,2,3,3,0,3
59,20,2,0,3,1,6
60,20,2,0,0,2,8
61,20,3,3,2,2,6
62,20,6,1,1,1,12
63,20,6,0,2,2,4
64,21,6,1,0,3,1
65,18,0,3,3,1,2
66,18,6,2,2,0,11
67,19,5,1,1,1,19
68,19,6,0,3,3,1
69,20,0,1,2,2,4
70,20,3,0,1,2,1
71,21,1,3,3,2,13
72,21,4,2,0,1,8
73,17,5,1,2,3,1
74,18,0,3,3,2,12
75,18,1,0,0,1,5
76,18,6,0,0,1,3
77,18,6,3,1,2,2
78,19,1,3,2,1,5
79,19,2,2,1,0,1
80,19,3,2,1,3,1
81,19,5,0,3,3,2
82,20,5,1,1,3,7
83,18,3,0,0,0,3
84,19,4,0,0,3,1
85,20,4,3,2,2,3
86,21,2,3,3,1,5
87,21,6,2,1,3,2
88,19,2,3,2,2,3
89,19,2,1,1,3,9
90,19,3,0,2,0,1
91,19,3,3,0,1,2
92,20,3,2,2,1,104
93,21,3,3,3,1,13
94,18,1,3,0,2,6
95,19,2,0,3,1,5
96,19,3,2,3,1,2
97,19,4,3,3,0,1
98,20,5,2,0,1,10
99,21,1,3,3,3,4
100,21,6,1,1,3,22
101,19,1,0,3,2,3
102,19,5,1,3,2,2
103,20,1,1,0,3,1
104,21,0,2,0,3,5
105,17,5,3,0,1,2
106,17,5,1,1,1,10
107,18,0,3,2,3,5
108,19,1,3,2,3,1
109,19,5,0,2,1,4
110,19,5,0,0,2,7
111,20,2,1,3,1,4
112,21,1,2,2,2,72
113,18,3,3,0,2,7
114,19,0,1,1,3,11
115,20,1,3,3,2,14
116,21,6,3,3,3,9
117,18,5,4,4,2,2
118,18,5,0,0,2,5
119,19,4,1,3,1,4
120,20,5,2,2,2,114
121,21,5,1,3,2,2
122,20,2,2,2,3,74
123,20,3,3,0,1,1
124,20,4,0,0,3,1
125,21,1,0,3,3,1
126,18,3,3,0,1,1
127,18,3,1,1,3,18
128,19,4,0,0,0,3
129,20,6,1,3,2,3
130,18,2,2,3,1,1
131,18,5,2,0,0,1
132,20,0,3,2,1,1
133,20,0,0,0,2,5
134,20,6,3,0,1,2
135,21,1,2,0,2,8
136,21,4,2,2,2,128
137,21,4,1,4,3,1
138,18,2,2,1,3,1
139,18,4,0,3,2,2
140,19,5,3,1,2,5
141,20,3,3,3,2,21
142,20,3,3,2,3,3
143,21,1,1,3,3,1
144,21,3,1,3,3,2
145,21,6,0,0,1,2
146,22,0,2,2,1,54
147,17,5,2,2,3,53
148,18,5,2,2,0,5
149,19,0,1,3,2,2
150,19,3,2,0,2,10
151,21,4,0,0,1,2
152,21,5,0,2,1,2
153,18,1,3,3,0,1
154,18,4,2,2,2,90
155,20,4,3,1,1,7
156,20,6,0,0,1,1
157,21,4,3,1,1,6
158,22,0,2,1,2,1
159,17,5,2,1,2,2
160,18,0,2,2,3,35
161,18,1,3,1,3,1
162,19,2,1,3,2,2
163,19,5,3,3,2,13
164,20,1,0,1,3,2
165,20,2,4,2,1,1
166,20,2,2,1,2,3
167,20,3,2,1,2,2
168,20,4,2,2,3,69
169,20,5,3,3,1,17
170,21,0,1,3,1,1
171,21,4,2,1,1,1
172,18,1,1,1,3,10
173,20,6,2,0,1,6
174,20,6,3,2,3,1
175,21,3,2,0,1,2
176,21,3,1,2,3,5
177,22,0,3,0,1,2
178,18,1,1,3,2,1
179,18,3,2,1,3,5
180,18,5,1,1,1,15
181,19,2,0,2,1,1
182,19,3,1,2,1,2
183,20,4,1,2,1,1
184,20,5,0,2,0,1
185,21,4,4,1,2,1
186,17,5,0,1,1,3
187,19,2,4,1,2,1
188,19,5,1,3,0,2
189,20,3,0,3,2,1
190,21,0,1,2,2,6
191,21,0,1,1,3,11
192,18,1,1,0,2,1
193,19,3,1,2,3,1
194,19,5,0,1,3,3
195,20,1,3,1,3,2
196,20,2,2,2,1,130
197,21,0,3,0,2,1
198,18,4,2,3,1,4
199,18,5,1,3,3,1
200,19,1,1,3,1,1
201,19,6,0,3,2,2
