,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,40,0,3,3,1,5
1,41,3,0,2,3,1
2,42,4,2,1,3,1
3,43,1,3,3,3,35
4,43,5,2,2,0,5
5,40,0,1,4,2,1
6,41,1,2,3,2,4
7,41,2,1,4,2,1
8,41,4,3,3,0,8
9,41,4,3,0,1,2
10,41,5,3,3,0,2
11,41,6,1,2,2,8
12,42,4,1,3,2,3
13,43,0,0,0,0,1
14,39,6,1,3,0,1
15,40,4,0,2,0,1
16,40,6,0,3,3,1
17,41,6,0,0,1,1
18,42,2,2,1,2,2
19,42,3,3,0,1,2
20,43,3,1,2,1,9
21,39,5,1,3,0,1
22,39,5,2,3,2,1
23,40,3,2,0,0,3
24,40,3,1,0,3,1
25,40,5,1,2,2,7
26,41,4,2,0,2,10
27,42,2,1,2,0,1
28,42,6,3,3,0,6
29,39,4,2,2,3,144
30,40,6,3,0,1,2
31,41,3,0,0,1,5
32,41,5,0,1,2,1
33,42,5,0,3,2,2
34,43,1,3,2,1,5
35,39,4,0,2,2,2
36,40,1,0,1,2,2
37,41,1,2,1,2,3
38,41,5,1,1,0,2
39,42,6,0,3,3,1
40,39,5,0,3,1,6
41,39,5,3,3,3,40
42,40,3,3,1,2,5
43,40,5,2,3,1,3
44,41,2,2,0,0,3
45,42,1,3,1,2,8
46,42,6,0,2,2,7
47,43,3,2,1,2,7
48,39,6,4,1,2,1
49,40,1,0,3,1,8
50,40,5,0,1,2,2
51,41,2,1,0,3,1
52,41,5,3,2,1,7
53,42,2,3,2,3,7
54,42,3,3,2,1,5
55,42,3,2,1,1,3
56,42,5,0,1,2,1
57,43,0,1,2,1,4
58,39,4,2,0,1,6
59,40,0,1,4,3,1
60,40,5,2,0,0,4
61,40,5,3,2,0,1
62,41,0,2,0,3,4
63,41,6,2,2,0,16
64,41,6,1,3,3,4
65,42,3,4,1,2,1
66,42,3,0,2,3,3
67,42,4,3,3,0,7
68,39,6,3,3,1,10
69,40,3,1,2,3,4
70,41,1,3,2,2,10
71,41,2,3,0,1,2
72,42,2,3,0,2,5
73,42,5,2,0,3,10
74,42,6,3,3,2,61
75,43,2,1,2,2,9
76,43,2,1,0,3,1
77,39,5,1,2,1,4
78,41,1,0,0,2,3
79,41,6,3,2,0,1
80,43,5,3,2,2,7
81,39,6,3,2,1,4
82,41,0,1,1,1,17
83,41,3,0,0,2,6
84,42,1,3,3,2,52
85,42,1,2,1,3,1
86,42,5,0,1,3,3
87,43,0,1,3,1,4
88,43,3,2,2,0,7
