,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,40,0,3,3,1,4
1,41,3,0,2,3,2
2,41,5,2,4,3,1
3,42,4,2,1,3,391
4,43,1,1,1,0,1
5,43,1,3,3,3,12
6,43,4,2,1,0,44
7,43,5,2,2,0,768
8,40,0,1,4,2,1
9,41,1,2,3,2,108
10,41,4,3,3,0,3
11,41,4,3,0,1,1
12,41,5,3,3,0,3
13,41,6,1,2,2,27
14,42,4,1,3,2,2
15,43,0,0,0,0,1
16,39,6,1,3,0,2
17,41,6,0,0,1,1
18,42,2,2,1,2,236
19,42,2,2,3,2,110
20,43,3,1,2,1,30
21,39,5,2,3,2,118
22,40,3,2,0,0,13
23,40,5,1,2,2,13
24,41,1,1,3,0,1
25,41,4,2,0,2,35
26,42,2,1,2,0,1
27,42,6,3,3,0,9
28,39,4,2,2,3,10762
29,40,6,3,0,1,1
30,41,3,0,0,1,1
31,43,1,3,2,1,37
32,39,4,0,2,2,7
33,41,1,2,1,2,187
34,41,5,1,1,0,4
35,42,5,2,3,0,63
36,43,6,1,3,0,2
37,39,5,3,3,3,11
38,40,3,3,1,2,5
39,40,5,2,3,1,51
40,41,0,1,3,0,2
41,41,2,2,0,0,5
42,42,1,3,1,2,2
43,42,6,0,2,2,1
44,43,3,2,1,2,278
45,41,5,3,2,1,30
46,0,4,2,2,0,1
47,42,2,3,2,3,13
48,42,3,2,1,1,113
49,42,3,3,2,1,42
50,43,0,1,2,1,5
51,39,4,2,0,1,44
52,40,5,2,0,0,14
53,40,5,3,2,0,2
54,41,0,2,0,3,32
55,41,6,2,2,0,1276
56,41,6,1,3,3,3
57,42,3,0,2,3,1
58,42,4,3,3,0,2
59,39,6,3,3,1,7
60,40,3,1,2,3,10
61,41,1,3,2,2,23
62,42,2,3,0,2,1
63,42,5,1,2,0,3
64,42,5,2,0,3,48
65,42,6,3,3,2,13
66,43,2,1,2,2,14
67,39,5,1,2,1,23
68,40,5,3,0,3,1
69,41,6,3,2,0,5
70,43,5,3,2,2,29
71,39,6,3,2,1,22
72,41,0,1,1,1,5
73,42,1,3,3,2,15
74,42,1,2,1,3,258
75,43,3,2,2,0,610
76,43,5,1,3,1,2
77,39,3,2,0,3,1
78,40,1,2,3,2,110
79,41,0,3,1,0,2
80,41,5,2,3,0,64
81,41,5,3,3,2,16
82,42,3,3,3,0,3
83,43,0,2,0,1,16
84,39,6,3,1,3,3
85,40,0,3,2,2,26
86,40,0,3,1,2,3
87,40,6,0,0,2,2
88,40,6,1,3,3,4
89,40,6,3,2,3,14
90,41,5,3,1,0,1
91,41,5,2,2,3,9105
92,42,0,0,2,0,2
93,42,1,0,3,0,1
94,43,2,2,1,2,207
95,43,5,2,3,0,63
96,40,1,3,0,0,1
97,40,4,3,3,3,13
98,41,3,3,2,0,4
99,41,3,0,2,1,1
100,43,3,3,0,1,1
101,40,3,2,2,3,8631
102,40,5,0,0,0,1
103,41,0,0,2,0,1
104,41,1,1,2,3,2
105,41,3,1,2,2,16
106,41,4,2,3,2,120
107,42,3,3,1,3,1
108,39,6,0,3,0,1
109,40,6,3,1,3,1
110,43,4,0,2,3,4
111,43,5,2,0,1,25
112,43,6,0,0,2,1
113,39,5,0,0,2,5
114,40,0,2,3,0,91
115,41,1,3,3,3,13
116,41,2,3,2,1,39
117,41,2,0,2,2,3
118,41,5,2,2,2,15492
119,42,2,0,2,1,6
120,43,6,0,0,1,3
121,39,5,1,2,0,1
122,40,1,2,0,2,29
123,40,1,0,0,2,7
124,40,2,1,2,0,2
125,40,2,1,1,3,13
126,40,4,2,3,1,53
127,40,6,3,2,1,12
128,41,0,0,2,3,1
129,41,3,2,1,1,87
130,41,4,1,1,2,29
131,42,4,0,0,3,3
132,42,6,1,1,3,32
133,43,1,2,0,2,31
134,40,3,0,0,3,1
135,40,6,0,0,0,2
136,41,4,2,2,3,11670
137,42,2,1,2,2,19
138,43,3,2,3,3,172
139,40,1,1,1,2,23
