,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,31,4,3,1,2,4
1,31,6,0,0,2,4
2,32,0,2,2,2,102
3,32,2,2,1,1,2
4,32,2,0,1,1,3
5,32,5,0,0,3,1
6,32,6,1,2,2,6
7,33,2,0,1,2,4
8,33,3,3,1,1,2
9,33,4,0,0,1,3
10,34,1,2,1,3,2
11,34,4,4,1,2,1
12,34,6,0,2,0,1
13,30,6,0,2,1,8
14,31,1,1,0,2,2
15,31,3,2,0,0,2
16,31,3,1,3,3,1
17,32,6,0,1,3,1
18,33,0,0,1,2,2
19,33,6,3,1,3,2
20,34,3,3,1,1,4
21,31,0,0,3,1,1
22,31,0,1,2,3,3
23,32,0,1,1,1,10
24,32,2,1,2,1,4
25,32,5,1,3,2,2
26,33,0,1,4,3,1
27,33,2,0,0,0,1
28,33,2,2,1,3,2
29,34,3,0,2,3,2
30,35,0,3,3,3,18
31,35,0,1,1,3,36
32,31,4,1,3,2,6
33,31,5,1,3,0,2
34,32,0,0,0,2,1
35,32,5,4,4,2,2
36,33,1,0,0,2,8
37,33,4,1,3,0,2
38,33,6,1,1,0,2
39,34,2,1,2,0,1
40,34,3,1,2,3,5
41,34,5,1,3,2,2
42,34,5,3,2,3,2
43,34,6,3,1,2,3
44,31,6,0,0,3,1
45,32,3,1,3,3,1
46,33,3,2,1,2,2
47,31,0,2,3,3,3
48,31,1,2,0,0,2
49,31,1,0,3,3,1
50,31,3,3,1,0,1
51,32,1,2,0,3,5
52,32,2,3,1,3,2
53,32,2,1,4,3,1
54,32,4,3,1,0,2
55,32,6,0,0,0,1
56,33,0,3,1,2,4
57,33,3,0,2,1,4
58,33,5,3,3,0,5
59,33,5,0,2,2,2
60,30,6,2,2,3,104
61,31,4,2,2,1,132
62,32,2,3,1,0,2
63,32,2,1,0,2,3
64,32,6,2,3,3,1
65,33,5,3,2,2,6
66,33,6,0,2,3,2
67,34,3,1,3,1,5
68,35,1,0,2,2,4
69,35,1,1,2,2,8
70,30,6,2,1,2,4
71,31,1,0,1,2,3
72,31,5,0,2,2,5
73,32,2,1,3,2,5
74,32,2,3,3,2,30
75,33,3,3,3,1,21
76,33,3,1,0,1,1
77,34,2,0,3,3,1
78,34,5,3,2,1,3
79,34,6,1,2,1,4
80,30,6,2,0,1,8
81,30,6,1,0,1,1
82,31,1,0,3,2,1
83,31,4,3,0,2,7
84,32,0,1,2,3,3
85,32,3,4,1,2,1
86,33,4,2,0,0,1
87,33,4,0,2,1,6
88,33,6,2,3,2,3
89,34,6,2,0,0,4
90,31,1,0,0,2,4
91,31,2,2,0,0,3
92,32,0,0,3,1,2
93,32,2,2,1,3,2
94,32,5,1,3,3,2
95,32,6,4,1,3,1
96,33,1,1,2,2,4
97,33,4,1,1,1,13
98,33,6,3,4,1,1
99,34,3,3,1,0,2
100,34,4,0,0,2,6
101,34,5,3,3,1,22
102,34,6,3,2,3,3
103,30,6,0,2,2,3
104,31,1,3,2,1,6
105,31,6,3,0,1,1
106,33,0,2,3,1,1
107,34,0,3,3,0,4
108,34,0,0,3,2,1
109,34,4,2,2,1,157
110,34,4,1,2,1,2
111,32,1,3,2,1,8
112,32,3,2,1,2,4
113,32,3,3,2,2,3
114,33,4,3,3,1,14
115,33,4,0,0,2,5
116,33,4,1,3,3,2
117,33,6,2,1,1,2
118,34,0,0,0,0,1
119,34,3,2,3,3,1
120,34,6,0,1,1,2
121,35,0,2,0,3,6
122,31,1,3,0,3,1
123,31,5,0,0,3,5
124,32,3,1,0,2,1
125,32,4,0,2,1,2
126,33,1,1,1,1,11
127,34,1,1,0,1,1
128,31,5,1,1,2,40
129,31,6,1,2,0,1
130,32,2,3,2,1,5
131,32,4,1,1,0,1
132,33,4,0,2,0,1
133,33,4,2,3,1,2
134,35,0,3,1,0,1
135,31,1,0,0,3,1
136,31,4,1,3,1,6
137,32,3,1,2,1,1
138,32,4,2,1,3,2
139,33,0,3,3,1,5
140,33,5,3,1,2,8
141,35,0,0,1,2,1
142,35,0,0,3,3,1
143,35,1,3,3,2,40
144,30,6,2,2,2,126
145,30,6,2,0,2,18
146,30,6,3,2,2,2
147,31,4,0,3,1,8
148,31,4,3,2,1,4
149,32,4,1,1,1,11
150,32,5,1,1,1,15
151,33,5,1,4,2,1
152,34,5,2,1,2,2
153,35,1,1,3,2,6
154,31,1,1,1,1,18
155,32,0,3,2,2,8
156,32,6,1,4,2,1
157,33,2,3,1,3,4
158,33,3,0,2,2,1
159,33,4,2,1,0,1
160,34,0,3,1,2,2
161,34,6,4,4,2,2
162,31,5,2,3,2,2
163,32,5,0,0,2,8
164,32,6,0,0,1,2
165,33,0,2,2,2,100
166,33,2,3,1,0,1
167,34,3,0,0,0,2
