,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,17,6,1,1,2,265
1,18,0,2,3,2,237
2,18,1,1,2,0,27
3,18,2,2,3,2,201
4,18,5,1,2,3,204
5,19,5,2,2,1,41743
6,20,5,3,0,1,4
7,21,0,3,0,1,2
8,17,6,3,3,1,108
9,18,0,0,3,1,3
10,18,6,3,3,3,131
11,19,3,3,2,1,135
12,19,6,1,0,3,1
13,20,0,2,3,3,648
14,20,5,0,0,2,24
15,17,3,2,2,0,6850
16,17,4,3,1,2,10
17,18,0,3,3,0,113
18,18,2,3,0,1,4
19,18,4,1,1,2,185
20,19,0,2,3,2,295
21,19,2,3,2,1,174
22,19,4,2,3,0,476
23,20,0,1,1,3,322
24,20,4,2,1,1,339
25,20,4,2,3,3,1090
26,21,2,1,3,1,8
27,21,3,1,3,0,4
28,21,3,2,3,2,203
29,18,4,2,1,2,619
30,18,5,3,2,3,54
31,19,3,3,0,3,3
32,20,0,0,3,1,5
33,20,4,2,2,1,47320
34,20,2,2,0,2,60
35,20,5,2,4,1,1
36,17,3,1,1,2,165
37,18,1,0,3,1,3
38,18,2,3,2,1,160
39,18,6,1,2,0,169
40,19,5,2,0,0,70
41,19,6,1,2,0,196
42,20,4,1,3,0,9
43,20,5,1,1,1,200
44,20,6,1,3,1,7
45,17,2,1,2,3,1
46,17,5,3,1,2,10
47,18,0,2,1,0,2163
48,18,0,1,2,2,142
49,18,1,4,4,1,2
50,20,3,3,0,3,1
51,21,0,3,3,1,138
52,17,4,3,1,0,9
53,17,4,3,2,1,140
54,17,5,2,0,1,91
55,17,6,2,0,0,110
56,17,6,2,2,3,54446
57,18,1,2,2,1,38113
58,19,0,1,3,3,10
59,19,1,2,3,2,225
60,19,4,2,0,1,95
61,20,2,1,1,1,187
62,20,6,3,0,2,3
63,21,1,3,1,3,13
64,0,4,2,2,0,5
65,17,4,3,2,3,43
66,17,6,2,0,1,98
67,18,1,1,2,1,260
68,18,3,1,3,1,12
69,18,6,0,2,1,39
70,20,0,2,3,1,172
71,18,0,1,1,2,351
72,18,1,1,3,0,4
73,18,1,1,3,1,4
74,20,0,3,2,2,56
75,20,2,3,3,0,44
76,20,2,0,3,1,2
77,20,2,0,0,2,23
78,20,3,3,2,2,45
79,20,6,1,1,1,135
80,20,6,0,2,2,11
81,17,4,3,2,2,49
82,18,0,3,3,1,161
83,18,6,2,2,0,21832
84,19,5,1,1,1,227
85,19,6,0,3,3,1
86,20,0,1,2,2,105
87,21,1,3,3,2,119
88,21,4,2,0,1,93
89,17,5,1,2,3,158
90,18,0,3,3,2,125
91,18,1,0,0,1,20
92,18,6,0,0,1,27
93,18,6,3,1,2,18
94,19,1,3,2,1,140
95,19,2,2,1,0,446
96,19,3,2,1,3,3263
97,20,5,1,1,3,335
98,20,6,2,0,0,104
99,17,3,0,2,2,11
100,18,3,0,0,0,6
101,18,6,3,2,1,129
102,19,4,0,0,3,14
103,20,4,3,2,2,38
104,21,2,3,3,1,164
105,21,6,2,1,3,1
106,19,2,3,2,2,44
107,19,2,1,1,3,410
108,19,3,0,2,0,8
109,19,3,3,0,1,3
110,20,3,2,2,1,44567
111,20,4,3,2,0,27
112,21,3,3,3,1,156
113,17,3,3,3,0,40
114,17,4,0,0,1,18
115,18,1,3,0,2,1
116,19,2,0,3,1,2
117,19,3,2,3,1,128
118,19,4,3,3,0,86
119,19,5,2,3,0,629
120,20,5,2,0,1,91
121,21,1,3,3,3,115
122,21,6,1,1,3,1
123,17,3,4,4,2,1
124,19,1,0,3,2,1
125,19,5,1,3,2,7
126,20,6,1,3,0,30
127,21,0,2,0,3,101
128,17,5,1,1,1,216
129,17,5,3,0,1,3
130,18,0,3,2,3,26
131,19,1,3,2,3,35
132,40,3,2,2,3,3
133,19,5,0,2,1,31
134,19,5,0,0,2,19
135,20,2,1,3,1,13
136,21,1,2,2,2,27798
137,21,0,2,4,3,1
138,18,3,3,0,2,6
139,19,0,1,2,0,193
140,19,0,1,1,3,238
141,20,1,3,3,2,100
142,20,5,0,3,0,1
143,17,4,1,2,2,76
144,18,1,0,2,1,16
145,18,2,1,4,3,1
146,18,5,0,0,2,30
147,19,4,1,3,1,12
148,20,5,2,2,2,42184
149,20,3,1,1,0,77
150,20,5,2,1,0,1012
151,21,5,1,3,2,16
152,20,2,2,2,3,57339
153,20,3,3,0,1,7
154,20,4,0,0,3,14
155,23,5,2,2,1,1
156,21,1,0,3,3,1
157,17,6,2,3,0,884
158,18,3,3,0,1,4
159,18,3,1,1,3,599
160,19,1,1,3,0,3
161,19,4,0,0,0,14
162,19,4,2,3,3,1130
163,20,6,1,3,2,16
164,17,5,1,2,0,59
165,18,2,2,3,1,115
166,18,5,2,0,0,80
167,20,0,3,2,1,124
168,20,0,0,0,2,23
169,20,6,3,0,1,3
170,21,1,3,2,1,72
171,21,1,2,0,2,78
172,21,4,2,2,2,48583
173,18,1,0,3,2,4
174,18,2,2,1,3,3053
175,18,4,0,3,2,3
176,19,5,2,4,2,2
177,19,5,3,1,2,11
178,20,3,3,3,2,103
179,20,3,3,2,3,38
180,21,1,1,3,3,12
181,21,2,1,0,0,1
