,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,48,0,1,2,2,41
1,48,3,2,2,3,410
2,48,6,3,1,2,92
3,49,3,3,3,2,1175
4,49,4,2,4,2,5
5,50,1,0,2,0,11
6,50,1,0,4,2,4
7,50,1,3,2,3,33
8,50,2,3,3,1,1528
9,50,2,2,2,2,603
10,50,2,2,4,3,31
11,50,3,3,3,2,1413
12,50,4,0,0,1,832
13,50,4,0,2,3,10
14,52,0,4,1,0,1
15,52,0,2,1,3,15
16,48,0,1,3,2,52
17,50,3,1,4,1,12
18,50,4,3,0,3,3
19,51,1,3,3,0,387
20,51,3,4,3,3,3
21,52,1,4,1,2,4
22,48,1,1,3,0,17
23,48,4,4,1,2,7
24,49,0,2,1,1,29
25,49,3,2,1,3,166
26,49,3,0,3,3,2
27,49,5,2,1,0,37
28,50,0,3,0,0,3
29,50,1,4,4,1,395
30,51,0,2,1,3,20
31,51,1,0,2,2,57
32,51,4,2,3,0,12
33,51,4,2,0,0,7
34,51,5,2,0,0,9
35,51,6,2,0,1,50
36,51,6,3,2,3,22
37,48,2,1,1,3,118
38,48,3,3,0,3,2
39,48,5,2,3,2,113
40,48,6,0,1,2,17
41,49,6,0,1,0,2
42,50,0,0,3,2,6
43,50,1,0,3,1,42
44,50,2,2,2,1,487
45,50,2,1,1,2,955
46,51,0,3,1,3,18
47,51,2,0,2,2,54
48,51,5,3,4,1,1
49,48,0,4,2,2,1
50,48,2,3,1,2,113
51,48,3,2,1,3,163
52,48,5,0,2,3,11
53,49,2,2,4,0,1
54,49,3,3,3,3,672
55,49,3,1,1,3,179
56,49,4,2,0,3,61
57,49,6,4,0,2,11
58,51,0,1,0,2,18
59,51,4,0,1,3,2
60,51,5,0,2,1,135
61,51,5,2,4,3,7
62,51,6,3,0,1,13
63,48,3,2,1,2,193
64,48,3,1,2,2,114
65,48,4,3,0,0,3
66,48,6,0,0,1,318
67,49,3,0,4,2,3
68,50,2,0,3,2,25
69,50,2,1,4,2,9
70,50,2,3,0,3,3
71,51,5,0,0,0,80
72,51,6,0,1,0,3
73,52,1,0,2,1,151
74,52,2,0,4,1,12
75,52,2,4,3,1,1
76,48,1,1,0,3,5
77,48,3,1,3,1,118
78,48,4,2,2,0,93
79,50,1,4,3,1,2
80,50,6,2,1,2,62
81,51,0,1,2,3,15
82,51,1,4,2,0,1
83,51,1,1,4,2,16
84,51,2,1,1,3,57
85,51,3,2,4,1,1
86,51,3,2,2,3,18
87,51,6,4,0,1,5
88,51,6,4,4,2,265
89,51,6,4,1,2,2
90,52,0,1,0,2,22
91,52,2,2,3,3,12
92,48,1,2,3,2,93
93,48,1,1,2,3,21
94,48,4,1,3,0,11
95,49,0,3,1,1,72
96,49,1,4,4,1,448
97,49,1,1,3,1,82
98,50,1,3,3,2,1400
99,50,2,1,3,0,15
100,50,3,4,0,1,6
101,50,4,1,1,1,901
102,50,4,0,0,3,78
103,50,6,0,0,2,179
104,51,0,1,4,0,2
105,51,2,1,3,1,83
106,51,2,1,2,3,19
107,51,4,0,0,1,581
108,52,2,2,2,3,79
109,48,2,4,4,3,156
110,48,4,0,3,0,3
111,48,4,0,1,1,69
112,49,0,3,1,0,49
113,49,1,3,3,0,384
114,49,5,4,4,0,72
115,50,0,0,1,3,5
116,50,3,3,2,0,16
117,50,5,2,4,3,19
118,51,1,1,2,2,84
119,51,2,2,1,2,110
120,51,2,4,0,2,16
121,51,4,2,2,0,26
122,51,4,3,3,3,477
123,52,0,2,0,2,38
124,52,1,1,2,3,16
125,52,2,0,2,0,6
126,48,0,3,0,0,3
127,48,1,1,2,0,18
128,48,1,4,4,1,376
129,48,1,0,1,1,75
130,48,2,3,2,2,80
131,48,3,3,2,2,78
132,48,4,3,1,1,138
133,48,4,1,2,2,93
134,48,4,4,4,3,118
135,48,5,4,0,2,16
136,48,6,4,4,0,88
137,48,6,2,2,2,173
138,49,0,3,0,0,2
139,49,4,3,1,3,57
140,50,2,1,2,1,249
141,50,2,3,3,3,569
142,50,5,1,2,3,19
143,51,0,2,0,2,42
144,51,1,3,1,0,18
145,51,1,1,0,3,1
146,51,2,2,3,2,60
147,52,2,0,1,3,4
148,49,1,3,3,3,619
149,50,0,2,3,0,12
150,50,1,3,0,2,30
151,51,4,1,0,2,32
152,52,2,2,1,0,25
153,48,2,2,2,3,448
154,49,4,1,3,0,11
155,50,2,4,1,3,1
156,51,0,3,1,1,55
157,51,3,0,0,2,43
158,51,4,3,2,3,15
159,52,0,3,3,2,776
160,52,0,4,4,3,137
161,52,1,0,1,1,71
162,52,1,3,2,2,53
163,48,0,2,3,3,12
164,48,2,4,1,2,4
165,48,4,0,4,2,3
166,49,0,3,2,3,20
167,49,4,3,2,2,89
168,50,0,1,4,2,5
169,50,1,1,0,3,5
170,50,5,1,3,0,11
171,50,6,0,3,2,13
172,51,1,4,0,2,15
173,52,1,2,0,3,40
174,52,2,3,3,1,1049
175,48,0,0,2,1,31
176,48,0,2,4,3,2
177,48,2,3,0,1,22
178,50,0,1,2,0,1
179,50,4,2,3,2,120
180,50,5,1,2,2,79
181,50,6,4,4,0,83
182,51,5,0,2,0,10
183,48,1,1,1,0,128
184,48,1,0,2,2,57
185,48,2,0,1,0,2
186,48,4,3,3,1,1532
187,48,6,3,2,0,12
188,49,0,0,3,0,1
189,49,2,3,3,0,285
190,49,2,4,2,0,2
191,49,3,2,1,0,38
192,50,3,3,3,1,1566
193,50,5,0,3,1,48
194,50,5,3,0,2,38
195,51,3,1,3,2,36
196,51,4,2,2,3,95
197,52,2,4,2,1,2
198,48,0,2,0,3,6
199,48,1,2,0,3,37
200,49,1,3,0,0,1
201,49,2,2,1,0,34
202,49,4,0,4,2,5
203,50,1,4,2,2,3
204,52,1,1,0,1,56
205,48,2,1,3,0,10
206,48,3,3,0,2,24
207,48,4,3,3,3,617
208,49,0,0,0,2,89
209,49,3,0,2,0,14
210,49,3,3,2,2,71
211,49,4,2,2,0,102
212,50,0,1,3,1,60
213,50,2,3,0,2,29
214,50,3,4,1,0,1
215,50,3,0,3,0,3
216,51,0,4,4,2,281
217,51,5,2,2,3,100
218,51,6,0,1,2,23
219,48,0,2,1,0,6
220,48,2,2,0,2,100
221,49,0,0,0,0,10
222,49,0,2,3,1,26
223,49,2,1,4,2,20
224,49,6,3,1,0,34
225,49,6,1,0,1,45
226,49,6,2,3,2,43
227,49,6,4,4,3,183
228,50,0,4,1,1,1
229,50,2,4,1,1,7
230,50,3,2,1,3,152
231,50,3,0,2,3,17
232,51,0,0,1,3,5
233,51,0,2,4,3,1
234,51,3,0,3,1,9
235,51,4,2,0,3,30
236,52,2,4,1,0,1
237,48,3,4,4,2,402
238,48,4,4,3,1,3
239,49,3,0,1,0,5
240,49,4,4,4,2,440
241,49,5,2,0,1,101
242,50,2,0,0,3,102
243,50,3,0,2,1,159
244,50,6,0,2,1,59
245,50,6,3,0,3,3
246,51,0,3,2,3,18
247,51,3,0,2,0,4
248,51,4,1,3,3,18
249,51,4,0,2,3,5
250,51,5,4,4,0,55
251,51,5,2,2,1,228
252,52,1,1,1,3,83
253,52,1,0,3,3,3
254,48,0,1,0,0,1
255,48,0,2,2,3,72
256,48,2,3,1,1,135
257,48,2,4,0,1,2
258,48,3,3,3,0,301
259,48,3,3,4,1,1
260,48,4,1,2,0,23
261,48,4,1,4,3,3
262,48,6,4,4,3,183
263,49,0,0,2,3,6
264,49,6,1,1,1,337
265,50,1,0,1,2,27
266,50,3,3,2,2,70
267,50,3,2,3,3,108
268,50,4,0,4,2,1
269,51,0,3,2,2,27
270,51,2,3,2,3,25
271,51,5,3,0,0,2
272,51,5,1,3,1,84
273,51,6,1,1,0,85
274,51,6,3,0,2,21
275,52,0,2,1,2,41
276,52,1,1,4,1,2
277,52,2,0,1,2,19
278,48,2,0,1,1,65
279,48,2,0,4,1,13
280,48,2,1,0,3,9
281,48,5,0,0,0,63
282,48,5,1,2,2,68
283,48,6,4,1,3,1
284,49,1,2,4,1,6
285,49,3,4,0,0,4
286,49,3,0,1,3,6
287,49,6,4,2,2,3
288,50,0,3,1,0,44
289,50,1,4,1,0,2
290,50,3,2,2,0,86
291,50,6,1,1,2,362
292,51,6,1,4,1,3
