,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,40,0,3,3,1,101
1,43,5,2,2,0,20
2,41,3,0,2,3,4
3,42,4,2,1,3,3238
4,43,1,1,1,0,43
5,43,1,3,3,3,55
6,43,4,2,1,0,774
7,41,1,2,3,2,194
8,41,4,3,3,0,34
9,41,4,3,0,1,3
10,41,5,3,3,0,69
11,41,6,1,2,2,133
12,42,4,1,3,2,3
13,43,0,0,0,0,8
14,39,6,1,3,0,26
15,40,4,0,2,0,4
16,41,6,0,0,1,10
17,42,2,2,1,2,543
18,42,2,2,3,2,193
19,42,3,3,0,1,1
20,42,4,3,0,3,1
21,43,3,1,2,1,258
22,39,5,1,3,0,11
23,39,5,2,3,2,197
24,40,3,2,0,0,35
25,40,5,1,2,2,74
26,41,1,1,3,0,8
27,41,4,2,0,2,57
28,42,2,1,2,0,30
29,42,6,3,3,0,117
30,39,4,2,2,3,57362
31,40,6,3,0,1,2
32,41,3,0,0,1,15
33,42,5,0,3,2,1
34,43,1,3,2,1,111
35,39,4,0,2,2,11
36,41,1,2,1,2,593
37,41,5,1,1,0,152
38,42,5,2,3,0,569
39,39,5,3,3,3,78
40,40,3,3,1,2,7
41,40,5,2,3,1,133
42,41,0,1,3,0,44
43,41,2,2,0,0,26
44,42,1,3,1,2,8
45,42,6,0,2,2,10
46,43,3,2,1,2,527
47,39,3,1,2,3,147
48,0,4,2,2,0,7
49,40,1,0,3,1,1
50,41,5,3,2,1,124
51,42,1,1,3,0,3
52,42,2,3,2,3,19
53,42,3,2,1,1,307
54,42,3,3,2,1,115
55,43,0,1,2,1,95
56,39,4,2,0,1,92
57,40,5,2,0,0,79
58,40,5,3,2,0,30
59,41,0,2,0,3,62
60,41,6,2,2,0,21670
61,41,6,1,3,3,28
62,42,3,0,2,3,6
63,42,4,3,3,0,35
64,43,3,3,0,0,1
65,39,6,3,3,1,109
66,40,3,1,2,3,106
67,41,1,3,2,2,37
68,41,2,3,0,1,4
69,42,5,1,2,0,64
70,42,5,2,0,3,110
71,42,6,3,3,2,81
72,48,6,2,2,2,2
73,43,2,1,2,2,75
74,39,3,1,1,3,399
75,39,5,1,2,1,259
76,40,5,3,0,3,1
77,41,1,0,0,2,14
78,41,6,3,2,0,41
79,39,6,3,2,1,184
80,41,0,1,1,1,110
81,41,3,0,0,2,19
