,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,5,1,0,0,3,28
1,5,4,1,0,3,5
2,6,1,4,4,1,1
3,6,4,1,2,1,158
4,6,6,3,2,1,49
5,7,0,0,2,1,5
6,7,0,1,4,2,1
7,7,4,0,0,2,37
8,8,1,3,1,0,3
9,8,5,1,3,0,8
10,8,5,0,1,2,3
11,4,6,1,2,3,157
12,5,0,3,2,1,18
13,5,6,0,1,1,1
14,6,4,0,0,0,4
15,6,4,2,3,1,6
16,7,2,1,0,1,2
17,7,3,0,3,0,4
18,8,6,3,3,0,214
19,5,2,1,3,0,3
20,5,5,2,3,3,14
21,6,0,2,3,0,2
22,6,4,3,3,2,340
23,7,4,2,1,1,4
24,7,5,3,0,2,6
25,8,0,0,1,2,3
26,8,4,2,2,0,55
27,8,6,1,2,2,116
28,5,0,0,2,0,2
29,6,4,3,2,1,35
30,7,0,2,2,0,111
31,7,1,3,3,3,364
32,7,2,0,1,3,1
33,7,3,0,1,3,3
34,8,0,2,2,3,511
35,8,2,1,3,2,10
36,8,4,1,2,0,6
37,8,4,1,1,3,639
38,5,2,1,1,3,549
39,5,4,2,0,2,24
40,5,5,0,2,0,2
41,5,5,3,3,1,246
42,6,5,1,2,1,134
43,7,0,1,2,0,121
44,7,0,0,1,0,1
45,7,3,2,3,0,1
46,7,4,3,0,2,12
47,7,5,1,3,2,7
48,7,6,0,1,2,4
49,8,1,3,3,2,283
50,8,3,1,1,0,37
51,5,5,3,0,2,3
52,6,2,1,3,0,7
53,6,4,1,3,2,8
54,6,5,1,1,1,176
55,7,1,3,2,1,34
56,7,1,0,2,2,7
57,7,2,0,0,2,35
58,7,5,1,1,0,92
59,8,0,2,2,0,146
60,8,1,2,2,0,62
61,4,6,2,2,0,141
62,5,3,1,3,0,1
63,5,6,2,2,3,660
64,6,2,3,1,2,9
65,6,6,2,3,2,6
66,7,1,2,3,2,5
67,7,2,2,1,1,5
68,7,6,1,1,1,136
69,8,5,3,3,1,185
70,6,0,1,2,3,82
71,6,2,0,3,1,4
72,6,5,2,3,3,11
73,6,6,3,1,0,6
74,6,6,3,3,1,126
75,7,0,1,0,2,3
76,7,3,0,3,2,3
77,7,4,3,1,3,18
78,8,6,3,3,1,120
79,8,6,2,3,3,5
80,4,6,0,0,0,8
81,5,5,3,1,3,22
82,5,6,2,3,2,7
83,5,6,3,0,3,4
84,6,1,0,2,3,4
85,6,6,1,1,1,134
86,7,2,2,2,2,865
87,7,2,1,3,3,18
88,8,1,1,1,1,171
89,8,5,0,0,1,27
90,4,6,2,3,0,2
91,7,1,1,0,1,3
92,7,4,0,2,2,14
93,7,4,0,0,3,25
94,8,4,3,1,1,9
95,8,4,3,2,3,18
96,8,5,1,3,3,22
97,4,5,1,2,3,1
98,6,1,0,2,0,4
99,6,4,0,3,1,4
100,6,4,3,0,3,2
101,6,5,0,1,1,3
102,8,1,0,3,1,3
103,4,6,1,1,2,530
104,6,3,0,0,2,40
105,6,3,3,1,3,14
106,7,2,0,3,1,3
107,8,2,4,4,2,4
108,8,5,2,0,2,33
109,6,0,2,2,1,422
110,6,1,2,1,2,6
111,6,3,2,2,2,914
112,6,6,0,3,2,3
113,7,0,3,2,2,23
114,7,2,1,1,1,136
115,7,6,3,2,0,16
116,8,4,3,3,3,779
117,8,5,2,3,3,6
118,8,6,2,2,1,542
119,5,1,3,3,3,458
120,5,3,0,0,0,6
121,6,2,1,0,2,4
122,6,5,2,0,1,33
123,7,3,3,3,0,83
124,7,5,1,0,0,1
125,8,1,2,1,2,7
126,8,1,1,0,3,2
127,8,4,3,3,0,88
128,8,5,1,1,2,377
129,4,6,4,2,1,1
130,4,6,0,3,2,1
131,5,0,2,1,1,1
132,5,1,1,2,1,132
133,5,1,0,1,1,1
134,6,0,2,1,0,1
135,6,1,3,1,3,15
136,6,4,2,0,2,20
137,6,6,2,0,3,33
138,7,3,3,0,2,10
139,7,4,2,0,3,33
140,7,6,3,1,0,7
141,8,2,1,1,0,38
142,8,2,3,1,3,10
143,6,1,0,3,1,4
144,6,2,1,1,1,169
145,6,4,1,1,1,209
146,6,6,3,1,1,11
147,7,4,1,1,0,58
148,5,1,0,0,0,8
149,5,5,0,0,2,41
150,6,0,3,1,1,5
151,6,6,1,1,2,516
152,7,5,2,2,3,838
153,8,0,2,1,2,5
154,8,2,1,0,3,3
155,8,2,4,1,3,1
156,8,4,2,0,3,27
157,5,6,1,4,3,1
158,6,0,3,3,2,248
159,6,2,2,2,2,869
