,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,45,5,2,0,1,25
1,46,4,3,1,2,4
2,47,0,2,1,0,70
3,48,3,2,2,3,2
4,47,4,3,1,2,1
5,48,0,1,2,2,9
6,44,2,2,0,0,13
7,44,4,2,1,3,342
8,45,0,3,0,0,2
9,46,2,0,2,1,4
10,45,1,2,2,0,403
11,45,5,2,0,2,36
12,46,2,2,0,2,42
13,46,4,2,0,1,36
14,46,5,1,2,3,13
15,47,4,3,2,1,9
16,47,5,1,2,0,1
17,44,6,1,2,1,12
18,45,1,0,3,3,1
19,45,2,3,3,3,16
20,45,4,0,3,1,1
21,46,1,3,3,1,13
22,46,2,3,0,1,1
23,46,4,1,1,0,2
24,45,2,3,2,1,44
25,45,2,3,2,2,13
26,45,4,2,1,0,28
27,45,6,3,3,3,11
28,46,1,0,3,2,1
29,47,1,0,2,2,3
30,47,3,0,2,1,3
31,47,4,2,1,2,173
32,44,5,1,2,1,17
33,45,0,0,2,3,1
34,45,1,0,0,1,3
35,46,0,0,0,2,1
36,47,3,2,0,0,5
37,45,2,1,3,3,2
38,46,1,0,3,1,1
39,46,1,3,0,3,4
40,47,1,3,1,1,2
41,47,3,0,3,2,1
42,45,1,1,0,3,1
43,0,4,2,2,0,1
44,47,1,2,2,2,14710
45,48,1,2,3,2,89
46,48,1,1,2,3,5
47,44,3,2,1,0,54
48,44,4,3,0,1,1
49,44,6,2,3,2,158
50,44,6,0,2,2,4
51,45,0,3,3,3,17
52,45,1,2,3,3,130
53,46,3,3,3,2,25
54,46,3,0,3,3,1
55,46,6,2,0,2,45
56,47,0,0,2,2,3
57,47,0,1,1,3,6
58,47,3,2,3,0,19
59,44,5,1,3,1,1
60,45,2,1,2,1,45
61,46,5,3,2,2,15
62,46,6,2,3,3,162
63,47,6,1,3,1,1
64,48,1,4,4,1,1
65,45,1,0,0,0,1
66,45,1,3,1,3,4
67,47,1,3,0,3,1
68,44,0,2,2,1,5170
69,46,1,1,2,0,4
70,46,1,0,2,2,2
71,46,2,2,3,2,163
72,47,1,0,2,0,1
73,47,5,2,2,3,5215
74,44,1,3,3,0,8
75,45,1,1,3,1,2
76,45,3,2,0,2,35
77,46,1,0,2,1,2
78,46,5,1,3,3,2
79,47,3,2,0,2,50
80,48,0,2,3,3,91
81,44,0,3,2,3,20
82,45,5,2,1,1,114
83,46,0,1,2,3,5
84,46,3,0,0,2,5
85,46,6,2,0,0,13
86,47,1,2,1,0,24
87,47,5,0,2,0,2
88,48,0,0,2,1,3
89,44,2,3,3,2,25
90,47,0,2,0,3,27
91,47,5,3,2,0,3
92,48,1,0,2,2,4
93,45,4,1,2,1,31
94,45,5,2,1,3,342
95,46,2,1,3,3,1
96,46,6,0,0,2,3
97,47,0,3,3,2,19
98,47,0,2,3,3,86
99,47,1,3,0,1,1
100,48,0,2,0,3,28
101,48,1,2,0,3,29
102,44,0,1,2,1,7
103,44,3,0,0,3,2
104,44,6,1,3,3,3
105,45,3,2,0,0,6
106,45,5,3,1,3,4
107,46,3,1,2,3,9
108,46,6,3,2,3,16
109,47,1,3,2,3,13
110,47,3,2,2,0,407
111,47,3,1,1,0,5
112,47,4,3,3,0,4
113,44,1,1,3,0,1
114,44,6,3,0,2,1
115,45,1,3,0,2,4
116,45,5,2,0,0,11
117,46,3,1,3,0,1
118,47,0,3,0,2,3
119,47,1,2,2,0,375
120,47,1,1,1,0,1
121,48,0,2,1,0,41
122,44,6,1,2,2,22
123,45,0,0,0,1,1
124,45,6,3,3,1,15
125,46,0,3,0,2,6
126,46,2,1,1,3,13
127,46,3,2,0,1,33
128,47,4,1,2,2,12
129,47,4,2,1,3,101
130,47,4,3,2,3,4
131,47,6,1,2,1,7
132,44,1,2,1,1,103
133,44,5,2,1,0,55
134,44,5,2,2,1,9695
135,46,4,3,3,0,1
136,46,4,2,0,3,42
137,48,0,2,2,3,4505
138,47,3,1,2,2,17
139,47,5,2,1,1,66
140,47,6,2,1,0,22
141,44,1,1,0,2,1
142,44,2,1,2,0,2
143,44,3,1,3,0,1
144,44,5,3,0,2,5
145,45,0,1,2,0,20
146,45,0,3,2,3,26
147,45,1,3,2,1,34
148,45,5,3,3,1,23
149,45,5,2,3,2,126
150,46,6,2,2,2,15002
151,47,4,1,2,3,7
152,47,5,1,0,0,1
153,44,3,1,1,1,15
154,44,5,2,2,0,763
155,44,5,3,0,1,1
156,45,6,2,1,3,339
157,47,5,2,2,2,9635
158,49,1,2,2,0,2
159,44,1,3,1,3,4
160,44,4,1,3,1,3
161,44,4,2,0,2,44
162,46,0,3,3,3,13
163,46,3,1,1,1,24
164,46,6,0,2,3,3
165,47,4,2,3,2,90
166,45,2,2,1,2,265
167,46,0,2,0,3,26
168,47,4,2,3,1,30
169,44,0,1,2,0,37
170,44,1,1,1,2,23
171,45,0,2,3,0,140
172,45,0,2,2,3,5783
173,45,0,2,3,2,116
174,45,0,1,2,2,16
175,45,0,0,2,2,4
176,45,1,2,3,0,40
177,45,5,2,0,3,53
178,46,4,1,1,2,20
179,47,2,3,2,0,2
