,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,35,2,0,2,2,4
1,35,3,3,3,1,10
2,36,4,3,0,2,6
3,38,1,3,3,0,5
4,38,1,0,1,2,2
5,38,2,0,0,3,3
6,38,5,0,2,1,2
7,38,5,1,1,2,35
8,38,5,0,3,2,1
9,35,2,0,3,0,1
10,35,3,1,0,3,1
11,35,5,2,0,3,10
12,36,2,2,3,0,1
13,38,0,2,2,2,147
14,35,6,1,0,2,3
15,36,1,0,2,2,3
16,36,1,4,1,2,1
17,36,3,3,3,1,12
18,38,5,1,1,1,17
19,35,4,0,2,0,2
20,36,1,2,2,1,72
21,36,2,0,1,1,1
22,37,4,3,0,2,6
23,37,5,1,1,1,13
24,37,5,1,1,2,43
25,38,2,3,2,1,6
26,38,5,3,2,3,2
27,38,6,1,1,2,73
28,39,0,3,2,1,3
29,35,3,2,2,1,135
30,35,3,1,2,1,11
31,35,5,2,0,0,3
32,36,1,3,2,2,4
33,36,3,0,0,1,9
34,37,0,1,0,0,1
35,37,6,1,2,1,3
36,35,6,0,0,3,5
37,36,4,3,2,2,3
38,36,6,0,1,3,2
39,37,3,0,3,0,1
40,37,6,0,2,3,2
41,38,2,2,1,1,1
42,38,3,2,2,0,8
43,35,4,3,3,0,6
44,35,5,2,2,3,146
45,36,1,1,2,3,5
46,36,3,2,3,1,2
47,36,4,0,3,1,7
48,36,5,1,2,2,6
49,37,1,0,1,1,3
50,39,0,2,3,3,3
51,35,4,3,0,1,2
52,36,0,2,2,3,95
53,36,1,2,1,2,1
54,36,2,1,3,0,1
55,36,6,3,3,2,49
56,37,1,1,0,3,3
57,37,5,3,1,0,1
58,38,6,0,0,1,2
59,39,3,1,2,3,5
60,35,2,2,1,1,2
61,35,3,0,0,3,1
62,36,0,3,3,3,23
63,36,0,1,4,3,1
64,36,4,2,2,1,195
65,36,5,1,3,2,6
66,37,1,2,0,1,5
67,37,2,3,2,2,5
68,37,6,3,2,1,4
69,38,2,0,0,2,4
70,38,4,1,3,0,1
71,39,1,4,1,1,1
72,35,6,1,2,1,7
73,36,1,1,1,2,42
74,36,4,2,0,2,7
75,36,6,3,3,0,6
76,37,0,2,1,0,1
77,37,4,0,2,2,7
78,38,3,3,3,2,51
79,35,3,1,1,1,11
80,35,6,0,2,1,3
81,36,5,2,3,1,2
82,37,2,2,1,1,1
83,37,2,1,3,2,6
84,38,5,3,0,3,1
85,38,6,0,1,3,1
86,39,3,1,1,3,29
87,36,2,3,1,0,1
88,37,0,3,0,2,3
89,37,1,2,2,0,9
90,38,4,2,2,2,223
91,38,5,2,1,0,1
92,39,1,0,1,1,3
93,35,6,1,1,3,32
94,36,2,3,3,3,28
95,37,1,0,0,1,3
96,37,6,2,3,0,1
97,38,4,4,2,1,1
98,39,3,2,0,3,4
99,35,6,1,0,3,4
100,36,5,0,3,2,2
101,37,0,1,3,2,2
102,38,3,3,0,1,1
103,35,2,2,1,2,3
104,35,3,1,1,2,45
105,36,3,3,3,2,57
106,36,4,2,1,1,4
107,38,2,1,2,2,9
108,37,2,0,3,2,2
109,37,5,0,0,3,1
110,37,6,2,0,3,9
111,39,0,0,1,2,1
112,39,1,2,2,3,106
113,39,2,4,4,3,1
114,39,3,2,0,2,10
115,37,6,2,0,0,4
116,38,2,0,1,1,1
117,39,1,1,3,2,2
118,39,2,0,3,1,8
119,39,2,3,3,2,43
120,39,3,0,3,1,9
121,36,4,0,0,2,7
122,36,6,1,0,3,2
123,37,6,1,1,3,48
124,37,1,3,3,2,43
125,37,2,0,0,2,5
126,38,2,3,3,1,16
127,38,5,4,1,2,1
128,39,3,0,0,1,4
129,35,2,2,0,0,4
130,36,4,2,0,0,1
131,36,5,2,2,1,169
132,37,2,2,0,2,6
133,38,2,0,3,2,3
134,38,6,2,3,3,5
135,36,0,1,3,3,3
136,36,1,2,0,1,3
137,36,3,3,0,2,6
138,36,3,3,0,3,1
139,36,6,2,0,0,5
140,38,0,2,0,3,6
141,38,4,1,1,2,45
142,39,2,1,3,0,1
143,39,2,3,1,3,1
144,35,6,2,0,3,3
145,36,3,0,2,2,7
146,36,5,3,1,3,1
147,36,6,2,2,1,103
148,36,6,1,1,3,51
149,37,0,3,3,1,13
150,37,0,1,4,3,1
151,37,1,0,2,1,4
152,37,3,3,0,1,2
153,37,4,2,0,1,9
154,38,0,3,0,2,3
155,38,1,3,1,0,1
156,38,5,2,3,3,2
157,38,6,3,3,2,41
158,39,0,2,2,0,21
159,39,0,2,1,2,2
160,39,1,3,2,2,4
161,36,0,1,2,3,9
162,36,5,3,2,3,4
163,37,1,0,2,3,3
164,38,0,1,2,3,6
165,38,1,2,0,2,11
166,38,5,1,0,1,3
167,35,3,3,0,1,3
168,35,3,1,0,1,2
169,36,0,0,2,3,1
170,36,1,2,3,3,4
171,36,5,1,3,0,1
172,37,4,2,2,1,204
173,37,6,3,1,2,2
174,38,0,1,2,0,1
175,38,4,3,0,1,3
176,39,1,0,3,3,1
177,36,6,3,2,1,6
178,37,4,2,1,3,1
