,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,48,0,1,2,2,52
1,48,3,2,2,3,55926
2,48,6,3,1,2,6
3,49,3,3,3,2,60
4,50,1,0,2,0,2
5,50,1,3,2,3,21
6,50,2,2,2,2,50257
7,50,2,3,3,1,143
8,50,3,3,3,2,101
9,50,4,0,0,1,8
10,50,4,0,2,3,7
11,52,0,2,1,3,870
12,48,0,1,3,2,1
13,50,3,1,4,1,1
14,51,1,3,3,0,41
15,48,1,1,3,0,2
16,49,0,2,1,1,293
17,49,3,2,1,3,3828
18,49,3,0,3,3,1
19,49,5,2,1,0,1844
20,50,0,3,0,0,1
21,50,1,4,4,1,1
22,51,0,2,1,3,881
23,51,1,0,2,2,11
24,51,4,2,3,0,110
25,51,4,2,0,0,28
26,51,5,2,0,0,44
27,51,6,2,0,1,36
28,51,6,3,2,3,21
29,48,2,1,1,3,297
30,48,5,2,3,2,213
31,52,3,2,3,3,1
32,7,0,2,2,0,1
33,50,0,0,3,2,1
34,50,2,2,2,1,47685
35,50,2,1,1,2,175
36,51,0,3,1,3,4
37,51,2,0,2,2,8
38,48,2,3,1,2,2
39,48,3,2,1,3,3039
40,48,5,0,2,3,4
41,49,3,1,1,3,497
42,49,3,3,3,3,59
43,49,4,2,0,3,179
44,51,5,0,2,1,5
45,48,3,2,1,2,477
46,48,3,1,2,2,54
47,48,4,3,0,0,2
48,48,6,0,0,1,10
49,3,4,2,2,3,1
50,50,2,0,3,2,1
51,50,2,3,0,3,1
52,51,5,0,0,0,2
53,52,1,0,2,1,8
54,48,3,1,3,1,2
55,48,4,2,2,0,8543
56,7,2,2,1,1,1
57,50,6,2,1,2,688
58,51,0,1,2,3,67
59,51,1,1,4,2,2
60,51,2,1,1,3,134
61,51,3,2,2,3,16206
62,51,6,4,4,2,1
63,52,2,2,3,3,395
64,48,1,2,3,2,149
65,48,1,1,2,3,40
66,48,4,1,3,0,9
67,0,4,2,2,0,7
68,49,0,3,1,1,8
69,49,1,1,3,1,5
70,49,1,4,4,1,1
71,50,1,3,3,2,53
72,50,2,1,3,0,6
73,13,3,2,2,0,5
74,50,4,1,1,1,238
75,50,4,0,0,3,13
76,50,6,0,0,2,8
