,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,30,4,0,0,1,888
1,30,5,3,2,0,18
2,31,4,3,1,2,79
3,31,6,0,0,2,208
4,32,0,2,2,2,41
5,32,2,0,1,1,71
6,32,2,2,1,1,114
7,32,4,2,4,1,4
8,32,5,2,3,0,19
9,32,5,0,0,3,87
10,32,6,1,2,2,22
11,33,2,0,1,2,23
12,33,3,3,1,1,102
13,33,4,0,0,1,972
14,33,5,0,4,2,1
15,33,6,4,2,2,1
16,34,1,2,1,3,122
17,34,4,4,1,2,7
18,34,6,0,2,0,3
19,30,4,4,1,1,6
20,30,4,0,3,2,20
21,30,5,3,2,2,63
22,30,5,0,1,2,28
23,30,6,0,2,1,64
24,31,1,1,0,2,18
25,31,3,2,0,0,16
26,31,3,1,3,3,22
27,32,3,1,0,3,4
28,32,6,0,1,3,8
29,33,0,0,1,2,7
30,33,3,3,4,1,1
31,33,6,3,1,3,75
32,34,3,3,1,1,107
33,30,6,0,3,0,1
34,31,0,0,3,1,5
35,31,0,1,2,3,8
36,31,6,2,4,0,2
37,31,6,2,1,2,45
38,32,0,1,1,1,174
39,32,2,1,2,1,193
40,32,3,0,2,0,8
41,32,3,0,3,2,20
42,32,5,1,3,2,66
43,32,6,4,2,3,1
44,33,2,0,0,0,79
45,33,2,2,1,3,129
46,33,4,4,1,0,1
47,33,5,4,2,2,1
48,34,3,0,2,3,12
49,34,4,3,1,3,37
50,30,5,2,3,1,84
51,31,3,2,3,0,25
52,31,4,1,2,0,18
53,31,4,1,3,2,60
54,31,5,1,3,0,18
55,32,0,1,3,0,24
56,32,0,0,0,2,45
57,32,3,3,4,2,1
58,32,5,4,4,2,248
59,33,1,0,0,2,568
60,33,4,1,3,0,10
61,33,6,1,1,0,51
62,34,2,1,2,0,25
63,34,3,1,2,3,19
64,34,5,1,3,2,59
65,34,5,3,2,3,24
66,34,6,3,1,2,64
67,31,1,0,2,0,12
68,31,6,0,0,3,67
69,32,3,1,3,3,16
70,33,1,4,4,1,247
71,33,3,2,1,2,165
72,34,4,1,3,3,22
73,34,5,1,1,0,50
74,30,4,3,1,0,30
75,31,0,2,3,3,15
76,31,0,2,4,3,2
77,31,1,2,0,0,9
78,31,1,0,3,3,2
79,31,3,3,1,0,14
80,31,6,1,4,1,2
81,32,1,2,0,3,41
82,32,2,3,1,3,27
83,32,4,3,1,0,17
84,32,6,0,0,0,61
85,33,0,3,1,2,66
86,33,3,4,4,1,228
87,33,3,0,2,1,156
88,33,5,3,3,0,348
89,33,5,0,2,2,75
90,33,5,2,4,3,6
91,34,0,1,3,0,15
92,34,4,0,0,1,960
93,30,4,3,0,1,32
94,30,6,2,2,3,70
95,31,4,2,2,1,419
96,31,5,4,2,3,1
97,31,6,4,2,0,1
98,32,2,3,1,0,16
99,32,2,4,3,2,2
100,32,2,1,0,2,24
101,32,4,1,2,0,23
102,32,5,4,0,2,15
103,32,6,2,3,3,21
104,33,5,1,0,0,2
105,33,5,3,2,2,46
106,33,6,0,2,3,6
107,34,2,0,4,1,12
108,34,3,1,3,1,65
109,34,6,2,4,2,1
110,30,4,0,0,0,75
111,30,6,2,1,2,50
112,31,1,0,1,2,28
113,31,5,0,2,2,67
114,32,1,2,4,3,21
115,32,2,3,3,2,1041
116,32,2,1,3,2,57
117,32,3,3,1,3,26
118,32,5,2,4,3,12
119,33,3,3,3,1,1162
120,33,3,1,0,1,83
121,34,2,2,4,2,3
122,34,2,0,3,3,3
123,34,5,2,1,0,36
124,34,5,3,2,1,147
125,34,6,1,2,1,93
126,30,6,1,0,1,60
127,30,6,2,0,1,47
128,30,6,4,4,3,173
129,31,1,0,3,2,25
130,31,4,3,0,2,39
131,32,0,1,2,3,8
132,32,3,1,4,2,16
133,32,3,4,1,2,6
134,33,4,2,0,0,13
135,33,4,0,2,1,189
136,33,6,2,3,2,27
137,34,6,2,3,0,17
138,34,6,2,0,0,10
139,31,1,1,0,0,2
140,31,1,0,0,2,588
141,31,2,2,0,0,11
142,31,2,3,2,0,11
143,32,0,0,3,1,9
144,32,2,2,1,3,154
145,32,5,1,3,3,32
146,33,1,1,2,2,77
147,33,4,1,1,1,654
148,33,6,3,4,1,1
149,34,3,3,1,0,22
150,34,4,0,0,2,657
151,34,5,3,3,1,1172
152,34,6,1,3,0,13
153,34,6,3,2,3,12
154,30,5,4,2,1,10
155,30,6,0,2,2,24
156,31,1,3,2,1,157
157,31,6,3,0,1,18
158,31,6,4,0,1,5
159,31,6,1,4,2,3
160,33,0,2,3,1,13
161,33,2,3,4,0,1
162,33,3,1,2,0,20
163,33,5,4,1,0,1
164,34,0,3,3,0,558
165,34,0,0,3,2,7
166,34,1,2,4,1,2
167,34,4,2,2,1,357
168,34,4,1,2,1,202
169,30,5,4,4,2,248
170,31,3,4,3,1,1
