,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,43,5,2,2,0,31044
1,44,0,1,4,0,187
2,44,0,4,1,1,28
3,44,0,1,0,3,235
4,44,6,4,0,3,2
5,45,0,4,3,1,14
6,45,5,2,0,1,2688
7,46,0,4,1,0,82
8,46,2,1,0,1,109
9,46,4,3,1,2,1793
10,47,0,2,1,0,7856
11,47,4,3,1,2,3250
12,47,6,1,3,2,2399
13,44,1,3,4,2,1
14,44,2,2,0,0,1159
15,44,2,4,4,2,1899
16,44,2,4,0,2,2
17,44,4,0,3,0,144
18,44,4,4,3,0,5
19,44,4,2,1,3,12944
20,45,0,3,0,0,537
21,45,5,4,3,0,7
22,46,0,0,3,0,393
23,46,2,0,2,1,3357
24,47,0,3,4,2,7
25,47,0,1,4,3,117
26,47,3,4,0,1,1
27,47,5,3,4,1,7
28,47,5,4,2,2,55
29,44,6,0,0,2,18753
30,45,0,0,3,1,322
31,45,1,2,2,0,9402
32,45,5,2,0,2,2913
33,45,6,2,4,1,34
34,46,0,4,0,3,2
35,46,2,2,0,2,2569
36,46,4,2,0,1,2705
37,46,5,1,2,3,7181
38,47,3,0,1,3,194
39,47,4,3,2,1,1458
40,47,5,1,2,0,1804
41,47,5,4,3,3,13
42,44,6,1,2,1,6227
43,45,1,0,3,3,297
44,45,2,3,3,3,17949
45,45,4,0,3,1,357
46,45,4,0,3,2,282
47,45,5,4,2,2,61
48,45,6,4,2,1,38
49,46,1,3,3,1,21182
50,46,2,3,0,1,366
51,46,3,4,1,0,23
52,46,4,1,1,0,10269
53,46,4,3,2,0,800
54,46,6,0,4,0,1
55,47,0,0,3,0,519
56,43,6,4,1,0,72
57,44,0,0,1,0,234
58,44,4,4,1,3,101
59,44,5,0,2,0,1112
60,45,2,3,2,1,2414
61,45,2,3,2,2,1472
62,45,4,2,1,0,3220
63,45,4,0,4,2,1
64,45,6,1,4,2,143
65,45,6,3,3,3,28535
66,46,1,0,3,2,270
67,46,4,0,3,0,156
68,46,5,3,4,1,7
69,46,5,0,1,2,117
70,47,0,4,3,1,4
71,47,1,0,2,2,2503
72,47,3,0,2,1,3473
73,47,4,2,1,2,4433
74,43,6,1,3,0,3182
75,44,5,1,2,1,6245
76,45,0,0,2,3,3242
77,45,1,0,0,1,12407
78,45,4,0,2,0,1040
79,46,0,0,0,2,17364
80,46,3,0,1,3,137
81,46,4,4,3,0,3
82,47,0,4,4,3,1314
83,47,3,2,0,0,1848
84,47,3,2,4,0,45
85,44,0,2,4,1,39
86,44,1,1,0,3,166
87,44,1,3,4,3,8
88,44,3,0,0,0,3796
89,44,3,0,1,0,48
90,44,3,2,4,1,33
91,45,2,1,3,3,2656
92,45,6,4,0,0,1
93,46,1,0,3,1,363
94,46,1,3,0,3,366
95,46,6,3,0,0,590
96,47,1,3,1,1,2023
97,47,3,0,3,2,312
98,47,4,1,4,1,77
99,47,5,0,0,3,19910
100,43,6,4,2,1,47
101,44,2,4,1,2,116
102,44,3,3,4,1,6
103,44,3,1,3,2,1620
104,45,0,4,1,0,75
105,45,1,1,0,3,174
106,47,0,0,2,0,3113
107,47,1,2,2,2,47580
108,47,4,1,1,0,16423
109,47,5,4,0,0,5
110,44,1,0,4,1,2
111,44,3,2,1,0,2443
112,44,4,3,0,1,357
113,44,6,0,2,2,3666
114,44,6,2,3,2,2499
115,45,0,3,3,3,17798
116,45,1,2,3,3,3531
117,45,3,0,4,1,3
118,45,6,3,4,0,10
119,46,3,3,3,2,19083
120,46,3,0,3,3,312
121,46,6,2,0,2,3568
122,46,6,0,4,3,2
123,47,0,0,2,2,3775
124,47,0,1,1,3,38411
125,47,3,2,3,0,1622
126,44,5,1,3,1,2144
127,44,6,2,4,3,82
128,45,2,1,2,1,6522
129,45,3,4,2,1,53
130,45,6,3,0,0,450
131,45,6,4,3,0,8
132,46,3,4,3,0,2
133,46,5,3,2,2,1657
134,46,5,4,1,2,145
135,46,6,2,3,3,4979
136,47,6,1,3,1,1494
137,47,6,4,1,1,105
138,43,5,3,2,2,1708
139,44,5,4,3,0,7
140,45,1,0,0,0,5586
141,45,1,3,1,3,1810
142,45,2,3,4,0,5
143,45,3,3,0,0,162
144,45,5,4,3,2,7
145,46,0,4,3,0,8
146,46,3,1,4,3,125
147,47,1,3,0,3,328
148,47,3,1,0,1,110
149,47,5,0,3,0,492
150,43,5,1,3,1,2216
151,43,5,4,0,2,2
152,44,0,2,2,1,27110
153,44,1,0,0,1,15762
154,44,4,1,4,2,92
155,44,4,4,4,3,1826
156,45,5,3,4,0,3
157,45,5,3,0,1,384
158,45,6,4,2,0,10
