,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,17,6,1,1,2,926
1,18,0,2,3,2,12
2,18,1,1,2,0,11
3,18,2,2,3,2,14
4,18,5,1,2,3,161
5,19,5,2,2,1,1076
6,20,2,3,0,1,3
7,20,5,3,0,1,6
8,21,0,3,0,1,4
9,17,6,3,3,1,209
10,18,0,0,3,1,5
11,18,5,1,4,3,1
12,18,6,3,3,3,526
13,19,3,3,2,1,59
14,19,6,1,0,3,6
15,20,0,2,3,3,14
16,20,5,0,0,2,117
17,21,4,1,4,2,1
18,17,3,2,2,0,89
19,17,4,3,1,2,33
20,18,0,3,3,0,293
21,18,2,3,0,1,6
22,18,4,1,1,2,929
23,19,0,2,3,2,11
24,19,2,3,2,1,72
25,19,4,2,3,0,1
26,20,0,1,1,3,545
27,20,4,2,1,1,10
28,20,4,2,3,3,13
29,21,2,1,3,1,42
30,21,3,1,3,0,9
31,21,3,2,3,2,16
32,21,3,3,0,3,1
33,18,4,2,1,2,12
34,18,5,3,2,3,59
35,18,5,0,3,3,3
36,19,3,3,0,3,6
37,20,0,0,3,1,7
38,20,2,2,0,2,56
39,20,4,2,2,1,1111
40,21,5,1,0,1,4
41,17,3,1,1,2,689
42,18,1,0,3,1,3
43,18,2,3,2,1,66
44,18,6,1,2,0,143
45,19,5,2,0,0,9
46,19,6,1,2,0,127
47,20,4,1,3,0,6
48,20,5,1,1,1,660
49,20,6,1,3,1,15
50,17,2,1,2,3,1
51,17,3,1,4,1,2
52,17,5,3,1,2,22
53,18,0,2,1,0,2
54,18,0,1,2,2,93
55,20,3,3,0,3,2
56,20,6,0,1,1,3
57,21,0,3,3,1,215
58,17,4,3,1,0,2
59,17,4,3,2,1,55
60,17,5,2,0,1,54
61,17,6,2,0,0,17
62,17,6,2,2,3,797
63,18,1,2,2,1,961
64,19,0,1,3,3,18
65,19,1,2,3,2,15
66,19,2,0,1,2,9
67,19,4,2,0,1,46
68,20,2,1,1,1,559
69,20,6,3,0,2,4
70,21,1,3,1,3,34
71,17,4,3,2,3,23
72,17,6,2,0,1,30
73,18,1,1,2,1,208
74,18,3,1,3,1,50
75,18,6,0,2,1,41
76,20,0,2,3,1,8
77,20,3,1,0,2,4
78,21,0,1,0,0,1
79,18,0,1,1,2,808
80,18,1,1,3,0,3
81,18,1,1,3,1,15
82,18,4,1,4,1,1
83,20,0,3,2,2,87
84,20,2,3,3,0,109
85,20,2,0,3,1,8
86,20,2,0,0,2,183
87,20,3,3,2,2,34
88,20,6,1,1,1,265
89,20,6,0,2,2,40
90,17,4,3,2,2,36
91,18,0,3,3,1,178
92,18,6,2,2,0,132
93,19,5,1,1,1,563
94,19,6,0,3,3,2
95,20,0,1,2,2,168
96,20,3,0,1,2,2
97,21,1,3,3,2,431
98,21,4,2,0,1,53
99,17,5,1,2,3,181
100,18,0,3,3,2,407
101,18,1,0,0,1,158
102,18,6,0,0,1,84
103,18,6,3,1,2,50
104,19,1,3,2,1,91
105,19,2,1,4,1,1
106,19,3,2,1,3,13
107,19,5,0,3,3,9
108,20,5,1,1,3,739
109,20,6,2,0,0,15
110,17,3,0,2,2,25
111,18,3,0,0,0,8
112,18,6,3,2,1,92
113,19,4,0,0,3,75
114,20,4,3,2,2,46
115,21,2,3,3,1,423
116,18,6,4,1,2,2
117,19,2,3,2,2,40
118,19,2,1,1,3,774
119,19,3,0,2,0,4
120,19,3,3,0,1,11
121,20,3,2,2,1,1006
122,20,4,3,2,0,11
123,21,3,3,3,1,402
124,17,3,3,3,0,110
125,17,4,0,0,1,149
126,18,1,3,0,2,11
127,19,2,0,3,1,14
128,19,3,2,3,1,11
129,19,4,3,3,0,135
130,19,5,2,3,0,3
131,20,5,2,0,1,42
132,21,1,3,3,3,402
133,17,3,4,4,2,1
134,19,1,0,3,2,7
135,19,5,1,3,2,54
136,20,1,1,0,3,1
137,20,6,1,3,0,26
138,21,0,2,0,3,22
139,21,1,1,0,1,3
