,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,5,1,0,0,3,10670
1,5,3,4,4,0,286
2,5,3,3,4,1,4
3,5,4,1,0,3,171
4,6,0,4,3,3,11
5,6,1,4,4,1,1408
6,6,4,1,2,1,6393
7,6,6,3,2,1,3030
8,7,0,0,2,1,2108
9,7,0,1,4,2,107
10,7,0,1,4,3,113
11,7,4,0,0,2,13141
12,7,4,4,2,2,40
13,8,1,3,1,0,865
14,8,3,0,2,0,925
15,8,4,0,4,1,4
16,8,4,0,4,3,1
17,4,6,1,2,3,10447
18,5,0,3,2,1,2231
19,5,2,3,4,1,6
20,5,4,4,2,2,35
21,5,6,0,1,1,163
22,6,2,1,4,2,70
23,6,4,0,0,0,3330
24,6,4,2,3,1,1057
25,7,2,1,0,1,103
26,7,3,0,3,0,123
27,8,4,4,2,0,11
28,4,6,4,4,0,953
29,5,2,1,3,0,656
30,5,5,2,3,3,5044
31,6,0,2,3,0,3966
32,6,1,0,4,0,1
33,6,4,3,3,2,16602
34,6,6,3,4,1,12
35,7,1,1,4,1,68
36,7,4,2,1,1,2022
37,7,5,3,0,2,314
38,8,0,0,1,2,206
39,8,4,2,2,0,11353
40,8,4,1,4,0,54
41,8,4,4,0,0,3
42,4,5,1,1,0,9071
43,4,5,2,4,2,82
44,5,0,0,2,0,1947
45,6,4,3,2,1,2490
46,7,0,2,2,0,33003
47,7,1,3,3,3,14314
48,7,2,0,1,3,146
49,7,3,0,1,3,123
50,8,0,2,2,3,45716
51,8,2,1,3,2,1473
52,8,4,1,2,0,1483
53,8,4,1,1,3,42127
54,4,6,2,4,3,96
55,5,1,4,2,1,55
56,5,2,1,1,3,25275
57,5,4,2,0,2,1873
58,5,5,0,2,0,838
59,5,5,3,3,1,17083
60,5,5,3,4,1,4
61,6,0,4,3,0,8
62,6,5,1,2,1,6142
63,7,0,1,2,0,5473
64,7,0,0,1,0,197
65,7,3,2,3,0,1270
66,7,3,4,3,2,4
67,7,3,0,4,3,1
68,7,4,3,0,2,239
69,7,5,1,3,2,1813
70,7,6,0,1,2,201
71,8,0,1,4,3,110
72,8,1,3,3,2,16022
73,8,3,1,1,0,7994
74,5,0,4,3,3,26
75,5,1,2,4,1,20
76,5,2,3,4,2,6
77,5,5,3,0,2,231
78,6,2,1,3,0,665
79,6,4,1,3,2,1643
80,6,5,1,1,1,28229
81,7,0,3,4,2,13
82,7,1,3,2,1,2394
83,7,1,0,2,2,1906
84,7,2,0,0,2,11501
85,7,5,1,1,0,11010
86,8,0,2,2,0,38908
87,8,1,2,2,0,8261
88,8,4,4,4,1,1801
89,4,5,1,4,0,36
90,4,6,2,2,0,31181
91,5,3,1,3,0,737
92,5,4,4,2,0,14
93,5,6,2,2,3,102329
94,6,1,2,4,1,36
95,6,2,3,1,2,1543
96,6,6,2,3,2,2301
97,6,6,2,4,2,50
98,7,1,2,3,2,1554
99,7,1,0,4,3,5
100,7,2,2,1,1,1839
101,7,6,1,1,1,22302
102,5,1,4,2,2,37
103,5,2,4,1,0,35
104,6,0,1,2,3,5180
105,6,2,0,3,1,253
106,6,5,2,3,3,4871
107,6,6,1,4,0,124
108,6,6,3,1,0,1850
109,6,6,3,3,1,11939
110,7,0,1,0,2,165
111,7,1,4,1,0,48
112,7,3,4,3,1,12
113,7,3,0,3,2,244
114,7,4,3,1,3,2268
115,4,5,0,2,1,3285
116,4,6,0,0,0,7241
117,4,6,1,4,2,131
118,4,6,4,3,3,30
119,5,0,4,2,3,83
120,5,5,3,1,3,3058
121,5,6,2,3,2,2284
122,5,6,3,0,3,547
123,6,1,3,4,2,4
124,6,1,0,2,3,1688
125,6,5,0,3,0,158
126,6,6,1,1,1,19323
127,6,6,1,4,1,70
128,6,6,0,4,3,1
129,7,2,2,2,2,45657
130,7,2,1,3,3,2053
131,7,4,2,3,0,1426
132,8,1,4,3,0,4
133,8,1,1,1,1,30126
134,8,2,4,1,0,25
135,4,5,2,4,3,167
136,4,6,2,3,0,3458
137,6,4,1,4,3,157
138,7,1,1,0,1,85
139,7,4,0,2,2,2314
140,7,4,0,0,3,14366
141,7,5,2,4,2,56
142,8,4,3,1,1,1953
143,8,4,3,2,3,1664
144,4,5,1,2,3,7040
145,5,2,1,4,2,88
146,5,4,4,3,0,1
147,6,0,4,2,1,38
148,6,1,0,2,0,853
149,6,4,0,3,1,346
150,6,4,3,0,3,441
151,6,5,0,1,1,152
152,7,6,4,3,1,7
153,8,1,0,3,1,349
154,4,6,1,1,2,35840
155,5,5,0,3,0,139
156,5,6,3,4,1,9
157,5,6,4,0,3,4
158,6,3,0,0,2,12176
159,6,3,3,1,3,2033
160,6,4,4,3,0,2
161,6,6,2,4,1,30
162,7,2,0,3,1,334
163,8,2,4,4,2,1645
164,8,2,0,1,3,155
165,5,3,0,4,3,2
166,6,0,2,2,1,32096
167,6,1,2,1,2,3124
168,6,3,2,2,2,52159
169,6,6,0,3,2,395
170,7,0,3,2,2,2766
171,7,2,1,1,1,24022
172,7,6,3,2,0,1315
173,8,2,0,4,1,3
174,8,3,4,0,2,3
175,8,4,3,3,3,18307
176,5,1,3,3,3,11734
177,5,2,4,2,0,13
178,5,2,4,1,1,87
179,5,3,0,0,0,2806
180,6,1,4,3,3,5
181,6,2,1,0,2,68
182,6,5,2,0,1,2281
183,6,5,4,1,1,126
184,7,3,3,3,0,4404
185,7,5,1,0,0,117
186,8,1,2,1,2,3233
187,8,1,1,0,3,167
188,8,4,3,3,0,4844
189,4,6,4,2,1,44
190,4,6,0,3,2,359
191,5,0,2,1,1,2186
192,5,1,1,2,1,6006
193,5,1,0,1,1,117
194,5,2,2,3,0,1093
195,5,4,0,1,2,91
196,6,0,2,1,0,8366
197,6,1,3,1,3,1640
198,6,4,2,4,0,46
199,6,4,2,0,2,2105
200,6,6,2,0,3,4513
201,7,0,4,1,2,113
202,7,1,0,4,0,1
203,7,3,3,0,2,250
204,7,4,4,3,1,12
205,7,4,2,0,3,4078
206,7,5,2,1,0,4040
207,7,6,3,1,0,2327
208,7,6,0,4,0,1
209,8,2,1,1,0,7759
210,8,2,3,1,3,2061
211,4,5,2,3,3,5531
212,5,3,4,0,3,1
213,5,4,4,4,2,1282
214,6,1,0,3,1,329
215,6,2,1,1,1,26915
216,6,4,1,1,1,28268
217,6,6,3,1,1,1794
218,7,0,4,0,1,1
219,7,4,1,1,0,8636
220,8,0,4,1,0,110
221,8,3,4,3,0,1
222,4,5,3,1,2,1880
223,4,5,2,3,2,1946
224,4,5,0,3,2,328
225,5,1,0,0,0,4341
226,5,4,0,4,2,2
227,5,5,0,0,2,12103
228,6,0,3,1,1,1519
229,6,2,4,3,2,6
230,6,2,2,4,3,136
231,6,4,3,4,0,5
232,6,6,1,1,2,32815
233,7,5,2,2,3,87723
234,8,0,2,1,2,5173
235,8,2,4,1,3,81
236,8,2,1,0,3,180
237,8,4,2,4,1,37
238,8,4,2,0,3,4796
239,4,5,4,1,1,130
240,5,6,0,3,1,317
241,5,6,1,4,3,162
242,6,0,3,3,2,15076
243,6,1,0,1,3,113
244,6,2,2,2,2,63697
245,6,3,1,0,2,83
246,6,6,0,2,3,4103
247,7,2,4,0,1,2
248,7,2,4,2,3,28
249,7,4,0,2,3,2582
250,7,4,2,1,0,2590
251,8,1,0,3,3,311
252,8,2,4,0,1,1
253,8,3,1,2,0,1324
254,8,3,3,4,2,4
255,4,5,4,4,1,1502
256,4,6,1,2,0,4191
257,4,6,3,2,1,2968
258,5,2,2,0,1,1753
259,5,6,0,0,0,7320
260,5,6,3,0,0,367
261,6,1,1,4,0,45
262,6,2,2,3,1,980
263,6,3,2,0,1,2185
264,6,4,2,0,0,1219
265,6,4,0,1,3,156
266,6,5,3,0,0,245
267,7,1,3,0,0,273
268,7,3,3,1,3,1997
269,7,4,1,0,0,71
270,7,5,1,2,3,6694
271,8,0,3,2,0,1737
272,5,4,3,0,0,133
273,6,0,1,1,3,30843
274,8,0,0,0,0,11544
275,8,1,0,3,2,233
276,8,4,4,2,2,50
277,5,0,3,1,3,3289
278,5,2,1,0,1,106
279,5,2,4,0,1,1
280,5,4,4,0,2,1
281,5,5,1,1,3,45694
282,5,6,2,3,0,3697
283,5,6,0,1,3,310
284,6,0,1,1,0,26987
285,6,1,2,3,3,4007
286,6,4,2,1,3,11002
287,6,5,0,0,3,16266
288,7,3,0,2,1,2722
289,7,3,3,4,3,5
290,7,4,1,1,3,35861
291,7,5,3,0,3,562
292,8,1,0,3,0,155
293,4,5,4,4,2,1763
294,4,5,1,0,3,277
295,5,1,3,3,1,14629
296,5,1,0,0,2,10257
297,5,2,0,4,3,1
298,5,4,2,0,0,946
299,5,6,2,0,3,4428
300,6,0,3,2,0,1500
301,6,0,0,3,0,299
302,6,2,3,3,1,15511
303,6,2,3,4,1,5
304,6,3,4,2,0,10
305,6,3,2,3,2,1531
306,6,5,3,4,3,13
307,7,0,4,1,1,101
308,7,3,1,2,2,2977
309,7,4,2,0,2,2183
310,7,6,1,0,3,385
311,8,0,2,2,2,56411
312,8,0,4,2,2,59
313,8,2,3,0,0,133
314,8,2,2,4,1,30
315,8,4,0,1,0,84
316,4,5,3,1,1,2062
317,4,5,1,4,1,83
318,5,0,3,0,1,208
319,5,1,2,0,2,1750
320,5,2,0,3,1,297
321,5,3,2,2,1,45299
322,6,1,0,0,0,3411
323,6,2,1,3,1,1636
324,6,2,4,3,1,2
325,6,2,1,3,2,1463
326,6,2,0,3,2,226
327,6,5,2,1,2,3784
328,6,5,1,3,3,3399
329,7,0,4,0,2,3
330,7,4,4,4,1,1580
331,8,4,1,3,1,2032
332,5,2,4,2,3,27
333,5,6,1,2,0,4111
334,6,0,4,0,2,3
335,6,0,0,1,3,213
336,6,4,4,1,0,25
337,6,5,3,4,0,4
338,7,4,1,1,2,26910
339,7,6,0,2,1,3284
340,8,0,1,1,0,31469
341,8,1,1,3,2,1545
342,4,5,3,4,1,2
343,4,6,1,0,1,117
344,4,6,2,3,3,4091
345,5,0,2,4,0,118
346,5,2,1,2,0,1078
347,5,2,2,3,1,972
348,5,2,0,1,2,106
349,6,1,2,0,2,1882
350,6,3,4,4,3,1179
351,6,3,0,3,3,308
352,7,0,3,0,3,504
353,7,2,3,0,1,275
354,7,5,0,3,2,321
355,7,6,1,2,1,5838
356,8,0,3,0,3,513
357,8,0,4,0,3,4
358,8,4,1,3,2,1692
359,4,6,3,1,2,2770
360,5,0,2,2,2,56111
361,5,2,0,1,0,49
362,5,2,1,2,2,3715
363,5,3,2,4,0,34
364,6,1,0,3,2,227
365,6,4,1,3,0,895
366,6,6,4,0,1,2
367,7,0,1,2,3,5912
368,8,0,2,1,1,2459
369,8,1,3,2,3,1217
370,8,2,3,0,1,325
371,4,5,3,0,2,293
372,5,0,1,3,0,2836
373,5,4,4,3,2,3
374,5,5,4,3,0,5
375,6,0,0,4,2,2
376,6,0,2,2,3,46215
377,6,3,3,4,2,6
378,6,4,3,4,2,11
379,7,0,1,0,1,112
380,5,2,2,0,3,3031
381,6,1,4,2,2,49
382,6,4,2,1,1,2183
383,6,5,3,2,3,2231
384,6,5,0,2,3,3327
385,6,6,2,1,0,6855
386,7,0,3,0,1,221
387,7,0,4,2,1,39
388,7,3,1,1,2,30826
389,7,4,3,3,1,16271
390,7,6,2,2,0,31012
391,8,3,2,3,1,1068
392,8,3,4,0,3,2
393,5,0,3,2,0,1397
394,6,0,1,0,1,112
395,6,1,1,2,0,1419
396,6,1,4,1,1,125
397,6,1,1,1,2,23800
398,6,3,1,4,2,72
399,7,0,3,1,1,1503
400,7,1,0,0,3,11049
401,7,4,1,2,2,3381
402,8,3,1,4,0,26
403,4,5,3,3,2,17213
404,5,1,1,0,1,147
405,5,4,3,3,3,13422
406,5,5,4,4,2,1469
407,6,1,3,0,0,166
408,6,3,1,4,3,95
409,7,1,1,3,2,1848
410,7,2,2,2,3,55055
411,8,0,2,3,0,4317
412,8,2,0,2,2,2358
413,8,3,3,0,1,316
414,5,1,3,2,2,1423
415,5,1,1,0,3,152
416,7,1,2,4,2,29
417,7,3,4,1,1,105
418,7,3,2,0,2,2133
419,7,3,3,0,3,312
420,8,1,3,2,0,821
421,4,5,0,4,2,1
422,5,0,4,2,0,18
423,5,0,2,0,1,1247
424,5,0,1,4,3,145
425,5,4,2,4,2,52
426,5,5,2,4,1,26
427,5,5,3,3,2,14933
428,6,3,2,1,2,3415
429,7,2,1,1,2,24420
430,7,2,0,3,3,277
431,7,4,2,2,2,47136
432,8,3,2,1,3,11328
433,4,5,1,0,1,151
434,4,6,2,2,2,69711
435,4,6,2,1,2,6272
436,5,5,3,4,3,12
437,7,1,2,3,1,916
438,8,0,0,4,0,3
439,8,2,1,1,1,30140
440,8,2,3,4,2,4
441,8,4,0,2,1,3590
442,8,4,1,3,3,2847
443,5,0,2,1,0,7286
444,5,0,4,4,1,737
445,5,0,2,3,2,2359
446,5,2,1,1,1,21217
447,6,0,3,2,1,2270
448,6,0,4,1,1,117
449,6,0,3,3,3,13380
450,6,1,1,1,1,24970
451,6,3,2,2,0,10444
452,6,6,1,1,0,22717
453,6,6,0,0,3,17784
454,7,1,1,2,0,2258
455,7,4,4,3,2,6
456,7,5,4,1,0,31
457,4,5,2,2,3,103650
458,4,6,4,0,0,3
459,5,2,0,2,3,1780
460,5,6,2,2,0,31716
461,6,6,4,4,0,1038
462,7,0,2,2,3,60085
463,7,1,4,1,2,110
464,7,4,4,4,2,1579
465,7,5,3,4,0,3
466,8,1,1,0,0,112
467,8,1,0,0,1,15258
468,8,1,0,1,1,143
469,8,3,4,0,0,2
470,4,5,2,4,0,56
471,5,0,4,3,0,5
472,5,0,3,3,1,9095
473,5,4,2,1,1,2010
474,6,1,0,1,2,99
475,8,0,2,0,3,3866
476,8,2,4,3,3,7
477,8,4,0,2,2,2650
478,4,6,4,2,0,20
479,5,3,2,3,3,4871
480,6,3,1,1,3,34790
481,6,5,2,3,2,1721
482,6,5,3,2,2,1648
483,6,5,4,0,2,5
484,7,1,4,4,1,930
485,7,5,0,0,2,15137
486,8,1,0,1,2,98
487,4,5,3,0,3,441
488,4,5,0,3,3,470
489,5,2,0,3,0,95
490,5,4,4,2,3,40
491,5,6,3,3,3,22939
492,6,5,4,3,3,8
493,7,0,0,1,2,165
494,7,1,3,4,2,9
495,7,2,4,4,0,290
496,7,3,2,0,1,1864
497,8,0,0,2,2,3307
498,8,1,2,0,3,3556
499,8,2,4,0,3,1
500,4,6,0,2,3,3772
501,5,0,2,2,3,52906
502,5,1,2,2,2,40207
503,5,1,1,4,2,87
504,5,3,4,3,0,2
505,6,0,4,3,1,10
506,6,5,4,2,0,21
507,6,5,4,3,0,2
508,6,6,3,4,0,10
509,6,6,4,1,3,185
510,7,2,3,1,2,1391
511,7,3,2,1,0,2257
512,8,0,0,3,2,351
513,8,3,4,4,3,1377
514,8,4,3,1,3,2501
515,6,0,4,4,0,1068
516,6,2,2,1,2,3459
517,6,3,4,4,2,1582
518,6,5,4,1,3,168
519,7,0,2,1,3,7210
520,7,3,4,1,0,29
521,8,2,4,2,0,14
522,8,4,0,0,1,17139
523,8,4,2,4,3,276
524,5,2,0,2,0,681
525,5,3,1,0,1,100
526,5,3,0,1,2,102
527,6,3,0,3,0,105
528,6,5,1,4,3,148
529,6,6,0,4,0,4
530,6,6,4,3,1,8
531,7,5,2,2,1,47056
532,7,5,2,0,3,5552
533,8,1,1,3,0,997
534,5,0,1,0,0,290
